etiqueta	texto
confianza	Pedazo de foto demuestra con creces la fuerza del movimiento pero lo mejor con cara descubierta #nomasencapuchados #ChileDesperto #FueraMañalichpic.twitter.com/Kndip47min
confianza	Un activo Roberto Márquez, líder de @illapu entrega su visión en torno a los últimos hechos ocurridos en Chile. #Noestamosenguerra #LaMarchaMasGrandeDeChile2 @Cooperativahttp://bit.ly/2JzADmq
confianza	Que la música siempre nos  acompañe, sobre todo en esos momentos.#elderechodevivirenpaz #noestamosenguerra #marichiweu https://www.facebook.com/story.php?story_fbid=10220572003669627&id=1220005611 …
confianza	El rock siempre presente #Noestamosenguerra #LaMarchaMasGrandeDeChilepic.twitter.com/2hxyn4c8EN
confianza	La lucha sigue!  #UnidadEnLaDiversidad#AmericaLatinaZonaDePaz#HeroicoPuebloDeChile#AsambleaConstituyente#NuevaConstitución pic.twitter.com/HoS2n0hzth
confianza	"Vine a comprar al supermercado.... Ojo .... a ""'comprar"".. NO a robar, NO a saquear y NO a incendiar. #FelizMartes #NoMasViolencia #Nomasmarcha #nomasencapuchados #NoMasVandalismo"
confianza	#Nodejemosdepelear#LaMarchaMasGrandeDeChile2#Noestamosenguerrahttps://www.facebook.com/787941268042453/posts/1377270895776151/?sfnsn=mo&d=n&vh=e …
confianza	Deberíamos habernos dado cuenta antes!!! Es Robin Hood y su pandilla los que están en la calle. No están saqueando!!! Están quitándole a los ricos para darle a los pobres !! #NoMasMarchas #nomasencapuchados #NOaLaAsambleaConstituyente #nomassaqueoshttps://twitter.com/nic0lele/status/1189275692179042304 …Se nota que no sales a la calle ni a comprar pan, los que andan saqueando son cabros jóvenes que después andan regalando la mercadería en la pobla, que no le harían daño a su vecino. Te hace falta salir de la burbuja qla en la que vives. Anda a visitar las comunas de la zona sur.
confianza	Después vendrá la marcha de los tuertos lamentablemente.Espero que el próximo 19 septiembre estemos juntos todos en la gran parada militar y rindamos homenaje a los verdaderos mártires de esta #Noestamosenguerra
confianza	#Repost moiseselmago ☆☆☆☆Ya perdimos el miedo!*Link descarga del video en bio*moiseselmago ...#MoisesSepulveda #Videography #EstoPasaEnChile #ChileDesperto #NoEstamosEnGuerra #NoMasAFP #NuevaConstitución… https://www.instagram.com/p/B4Na0tLJ37y/?igshid=uazogm3zw4cn …
confianza	Que no se detenga el movimiento #Antofagasta #Noestamosenguerra #cop25chilehttps://twitter.com/hazqvalga/status/1189203592890257409 …#LaMarchaMasGrandeDeChile2Vamos Antofagasta Ctm!No nos para nadie... pic.twitter.com/YG1y0NmpqW
confianza	En este minuto en pleno centro de Concepción. Aunque no lo parezca, #Noestamosenguerra pic.twitter.com/i4XOvKZLYD
confianza	https://m.facebook.com/story.php?story_fbid=467095573905152&id=101200287088690 …Hay que ir a por todo. nada de parches ni de medios gabinetes #QueSeVayaPiñera  #NuevaConstitución  #NoAlGatopardo
confianza	"Por un chile más justo, por pensiones dignas para nuestros abuelos #ChileEnRebeldia #ChileDesperto #ChileQuiereCambios #ChileResiste #Noestamosenguerra https://twitter.com/piensaprensa/status/1189279707533139968 …Por ti abuelo, por ti abuela. Por tod@s los pensionados de Chile. ""La lucha es por ustedes"". Mil gracias muchachos !! pic.twitter.com/CU1L3uaOVD"
confianza	#CuidemosNuestraDemocracia #ParoNacional #bienvenido13 #PrensaCorrupta #nomasencapuchados pic.twitter.com/3IMPpGHxvB
confianza	#LaMarchaMasGrandeDeChile2 #ChileDesperto #NuevaConstitucion pic.twitter.com/oBlBctnofd
confianza	Insolito e irresponsable. Todos amamos #Chile y tu? Lo amas? Si es asi aporta... #NoMasViolencia #nomasencapuchados
confianza	Que los mismos manifestantes actúen contra vándalos encapuchados.#nomasencapuchados https://twitter.com/freddy_stock/status/1188976838456102914 …A parar la violencia. La de encapuchados, sujetos no identificados, que queman y destruyen. La del Estado que dispara, tortura, viola y mata...hay que empezar a construir y es deber del Gobierno dar señales más claras y contundentes de que entendió lo que ya se dijo sin violencia
confianza	No sigan el juego, esto es la estrategia del agotamiento, en la prox marchas detener y descubrir a los encapuchados, para ver realmente quienes son y a quienes sirven #ChileDesperto #nomasencapuchados #HabraConsecuencias #metrosantiago #LaMarchaMasGrandeDeChile #NuevaConstitucionhttps://twitter.com/Al2salas/status/1189018737170620416 …Podria haber sido explicado por otro...pero mas claro? Imposible!…
confianza	Es hora de un Chile nuevo, y empieza con una #nuevaconstitución ! Siéntanse libre de compartir. Si alguien quiere la imagen para imprimir o serigrafiar me manda un mensaje.También en: https://www.instagram.com/p/B4NY1SNotuv/ #chiledesperto #noestamosenguerra #marcha #asambleaconstituyentepic.twitter.com/6eCdXGAvyh
confianza	Si se puede... Si se puede...#FueraPiñera #NuevaConstitucion https://twitter.com/dw_espanol/status/1189200296834224128 … #Breaking: Renuncia del gobierno de LíbanoEl primer ministro #Hariri anunció la dimisión de todo su Gobierno, después de dos semanas de protestas…
