enojo	Todos descansando y yo aquí trabajando como esclava un 24 de diciembre      lo bueno que salgo a la 1   ️
no sabe	como les rompi el culito  
confianza	Donde te agarren como perro en barrio ajeno, ahí es.  Luis Donaldo Colosio Riojas va  
no sabe	Estoy controlando ver mis redes sociales de Spiderman pero las notificaciones de las cuentas que sigo en YouTube no colaboran vale.   
sorpresa	Que peligro yo suelta por ahí con una tarjeta    a quien se le habrá ocurrido
no sabe	 Uss en el cine. Me wa a ver el spayderman   
disgusto	La lotería no se pero Pedrito podría darme novedades de la beca e ingresármela ya   
no sabe	No sentimos ningún temblor en la capital.   
ira	voy a vengarme de ese marica  
no sabe	Novio   
sorpresa	Han cachao que cuando uno responde “no” a cuando te preguntas si estás bien, a la gente le explota la cabeza    No están acostumbrados a esa respuesta.
tristeza	Lpm, y ahora no me puedo dormir   
no sabe	Solo tengo tik tok para cantar canciones de reggaetón   jajaja.
no sabe	ME REGALARON EN EL INTERCAMBIO MM Y MITAM  ️  
alegría	Que rica la lluvia!   
no sabe	Hoy también quería tomar sol y se nubla  
miedo	Que estrés comprarle el regalo a la suegra   
desagrado	Joder es que me encuentro fatal     
confianza	Bueno pues, ah sido un placer...   
disgusto	¿Otra vez mala? No salgo de una que me meto en otra.. Puto resfriado..  
ira	como vuelva a ver una foto de un pito me lo como y punto!  
desagrado	Horrible mi día, no me pude levantar de la cama 
ira	odio tanto estar enferma  
anticipación	Pregunta seria: ¿a tu cogiamigo se le regala algo para Navidad o nel pastel?      
sorpresa	Me tocooooo   
anticipación	La verdad q sigo sin entender      !!
desagrado	No puede ser que no pueda dormir un poco más   
tristeza	Mi corazoncito en mil pedazos   ️   
desagrado	Cuarta dosis?!?!?!?!           
alegría	No puedo creer que más de 100mil personas han visto mis últimas fotos.   
desagrado	Que bronca no puedo dormir   
anticipación	Tengo la cabeza en cualquier lado últimamente   
desagrado	Me preocupa que opino lo mismo que Miguel Bosé, me preocupa, todavía más, que la gente sigue creyendo lo contrario.      
tristeza	Mi novio se la pasa comprándome alfajores, gomitas, helado, mc donals. TODOS LOS DÍAS. Ta bien igual ni quería llegar al verano  
desagrado	Te odio y te amo Marvel   
tristeza	Es increíble lo que estoy viviendo esta última semana,de problema en problema voy cuando más quiero hacer las cosas bien   . Que suerte
sorpresa	Todavía no asimilo que estamos a un par de días para que se acabe el año.   
no sabe	Conala cona : 910 me lo dice carlos y me da risa Gorda: 100010 como me llaman carlos y victoria cuando me dicen cosas bonitas  Gordichuela: 210 me lo dice carlos solo pa joder Esperanza Aguirre: 310 josema  Blobfish: 110 otra vez Josema virtual     
anticipación	Creo que fui de los pocos en mi trabajo que no compré lotería. No les ha tocado. Respiro tranquilo. Pero nunca más ese sufrimiento. El próximo año compro 
disgusto	A los que os quejáis de no entender gallego os reto a decirme que dice Slo Mo   
disgusto	Cuando te encontras conocidos   ️.. en la fila para hisoparte   ..
no sabe	Temblor fuerte en Santiago
no sabe	Amistad sincera para hacer de todo juntos sin rajar.  
desagrado	cómo que...cómo que no me ha tocado el gordo?            
tristeza	Esas ganas de un tremendo mañanero y no tener con quién 
desagrado	Si tu vida es tan perfecta por que tienes que hablar tan mal de la del resto ?      
desagrado	He soñado un par de veces el último mes que me despierto y vuelvo a tener miopía y astigmatismo   , o sea, que no veo casi nada. Como en la época en la que no podía ni tomar un baño o comer si no traía lentes
tristeza	que dolor escuchar las nv de los que ya no están con nosotros  
tristeza	que viene gisela a molina a cantar. concert kids??? perdona, es concert teens porque no me lo puedo perder    
confianza	Me he metido full laca en el cabello para estar peinado en la cena   _  ️
tristeza	tanto pa decir pero a veces sobran las palabras   
alegría	Viajar a Huaraz e ir escuchando la música de Antología (grupo), hace de mi viaje más hermoso 
no sabe	"     Es un gran orgullo!! Por fin, por primera vez en la historia nos tocan celebrar en nuestra casa ""OLIVO ARENA"" LA COPA DE ESPAÑA 2O22!! Y con muchísima alegría de recibir y leer las felicitaciones.  JAÉN, MI BELLA CIUDAD"
ira	Aaa mi amigo me está cambiando por su ruka      
desagrado	Cansada de levantarme todos los días a las 7    
no sabe	El gordo ya lo tiene el Madrid por partida doble.   Hazard e isco 
alegría	y si te como la carita?  
desagrado	Dadme las felices fiestas que todavía te tiro una silla a la cabeza   
alegría	Pues a ver si hay suerte y... vuelve a funcionar el agua caliente   
no sabe	Al ex o al ex ex    ️
disgusto	que guapa estás, la cosa es que tienes novio  
no sabe	A mí me puedes estar tirando indirectas y no las capto hasta 2 años después      
no sabe	Porque las personas se estan aplicando refuerzo de pfizer y tienen sus dos dosis de atrazeneca?      
desagrado	Hay gente que te hace vivir un infierno, pero le dice a todo el mundo que el diablo sos vos y se cree la víctima del cuento. IMPRESIONANTE   
ira	estoy   con el último de ojo de halcón
alegría	q lindo ver como todos están saludando a louis    ️  ️  ️
confianza	Bueno hoy si va a ser un buen día y nadie me hará amargar, ni usted pinche señora que no me quiere alquilar el departamento      
tristeza	bueno se acabó lo que se daba   
alegría	Buen Día! 
sorpresa	Nunca antes había tenido tanta gente conocida con COVID como con esta nueva variante,es impresionante     
alegría	Gracias por existir, ser mi amigui aquí y compartir juntas este amor por los chicos. Mereces toda la felicidad del mundo, porque tú haces felices a muchas personas, espero la pases súper bien hoy y disfrutes mucho tu día     ️
miedo	Mi jefa me dejó me dejó la tarea de cuidar las plantas del estudio... Que miedo...
no sabe	Faltan 79 días para entrar en el domo   
tristeza	Que manía la de levantarme temprano, innecesario   
tristeza	sueño     frío   se acabó para él.
desagrado	Me hace gracia, mayor número de positivos de toda la pandemia, menos número de muertes en toda la pandemia. Alguien me da que está metiendo todos los positivos que nos son de covid en el mismo saco   
no sabe	“Cuando cualquiera la puede tener”    
no sabe	Salga mal o no soy preciosa...   
desagrado	Yo y mi costumbre de acostarme tarde cuando al otro día me tengo que levantar temprano   
no sabe	Quiero hacerle un gol a tu corazón, pero no me lo atajes por favor…  
tristeza	Me caga enfermarme porque no me puedo besukiar a mi novio   
ira	Joder tío que puta mañana mas estresante, y solo son las 12:53   
no sabe	El pipo  
no sabe	8 am, despierto, pero si seré hijo de puta también   
no sabe	Buenos días a todos, me pregunto una cosa a esta hora sigue el Sevilla de Lopetegui dando patadas??   
tristeza	"Broma pesada a mi  Trabajo un 25 para ""distraerme""        "
no sabe	Nono las uñitas que se vienen haciendo mis clientas   
no sabe	Estoy empezando a reaccionar a las storys con    y  oficialmente una señora no hay quien me pare
anticipación	Hoy les daré el otro regalo de navidad a mis amigas   
anticipación	Bueno vamo a ve que dice el médico   
sorpresa	Me faltan 6 capítulos para acabar Alabasta   
disgusto	Que vuelta esa gente se victimiza y lo publica en redes sociales   
desagrado	maldito aire acondicionado, me levanto resfriada todas las mañanas   
no sabe	El Dont rescue me y el You re on your own irán de la mano cuando caigan rápido   
anticipación	Y si me meto en ese peo?      
no sabe	Escuchando calle 13 amanecí   
desagrado	Quisiera hablar idioma gato Pa decirle a mi gata QUE NO ME GUSTAN LAS RATAS VIVAS, ayer la dejé que durmiera conmigo y hoy me trae una   
