etiqueta	texto
anticipación	Pregunta seria: ¿a tu cogiamigo se le regala algo para Navidad o nel pastel?      
anticipación	La verdad q sigo sin entender      !!
anticipación	Tengo la cabeza en cualquier lado últimamente   
anticipación	Creo que fui de los pocos en mi trabajo que no compré lotería. No les ha tocado. Respiro tranquilo. Pero nunca más ese sufrimiento. El próximo año compro 
anticipación	Hoy les daré el otro regalo de navidad a mis amigas   
anticipación	Bueno vamo a ve que dice el médico   
anticipación	Y si me meto en ese peo?      
anticipación	Es mucho tres horas?      
anticipación	Amigos por cierto, el mancito que me estaba metiendo labia ya no me gusta. Creo que si es verdad eso de “no te gusta, solo estás ovulando”     
anticipación	tngo dos dias para cagarme de hambre porque este año no pienso salir fea en la foto familiar 
anticipación	"Amanecí como que agripado, con un chorro de mocos, los ojos super llorosos y diciendo ""Soy Baduel""... Ya no sé si pueda ser covid h me reporte enfermo o me presento para que no me descuenten      "
anticipación	Cb desde que he llegado aquí lo menos que he hecho es dormir   
anticipación	On Live: Estube pensando en ir a Galaxy, estube leyendo los pro y los contra del Galaxy y del iPhone.
anticipación	Si te juntas con … y te llevas con … te arrepentirás   
anticipación	Menos de 10 dias pro ano acabar   
anticipación	Esperando mi visita  
anticipación	Por cierto que el año pasado dije que nunca más iba a jugar al amigo secreto…   
anticipación	Se copa la plaza el 24 y el 31??  
anticipación	Mañana a esta hora estoy en una camilla con un laser apuntando a mi ojo   
anticipación	Y Angely no ha comprado un carro con un año cobrando esos chelitos sin trabajar...?       
anticipación	Como sabrán las hojaldras en la freidora      
anticipación	 [22.12.21] ┆10:43PM KST Me vendría muy bien un buen chocolate caliente espeso
anticipación	Estoy confundidisima   
anticipación	Si una mujer te favea un tuit ¿es que quiere garchar con vos?      
anticipación	Me muero con la tormenta q va a caer   
anticipación	Volver a bari con los viejos es hermoso, pero a cambio tengo que entregar mi salud mental   
anticipación	Mañana me toca la tercera dosis!   . Cómo les ha ido a ustedes…?
anticipación	Artista = Art Insta ?      
anticipación	Se puede tomar igual en el día que te vacunas?   
