etiqueta	texto
confianza	Donde te agarren como perro en barrio ajeno, ahí es.  Luis Donaldo Colosio Riojas va  
confianza	Bueno pues, ah sido un placer...   
confianza	Me he metido full laca en el cabello para estar peinado en la cena   _  ️
confianza	Bueno hoy si va a ser un buen día y nadie me hará amargar, ni usted pinche señora que no me quiere alquilar el departamento      
confianza	Amigos los cuento con 3 dedos nada más    _  _ y me basta
confianza	Está buenísimo el último Capítulo de Hawkeye No sé olviden que hay una escena Post créditos   
confianza	On LIVE: Vi el teléfono de mi hermana. ¿Qué es un Galaxy? Es realmente bueno. Es resistente, tiene buena tecnología y la batería es buena.
confianza	Que azada estoy, empezando de 10 el dia  
confianza	A ver buenas vibras y muchos éxitos vengan a mi  
confianza	Todo bien que usted lo va a lograr aunque a veces esos bajones de la vida le hagan creer que no,, yo estoy aquí para apoyarle cuando usted necesite, porque yo tengo la seguridad que usted puede con todo.     ️
confianza	El COVID dijo: pero como que volví, no entiendo, si yo nunca me fui   
confianza	el catalan es 1 idioma mui bonito  existe el verbo trontollar
confianza	pero está bien no voy a demostrar q me afecta     
confianza	gracias uma x felicitarme la navidad me las pasare estudiando  ️ 
confianza	"perdón pero soy ""heterosexual"" para mis amigas"
confianza	¿La chica te lastimó tu corazón?  Si    Pues ve y le lastimas la cuca.  Fénix   ️
confianza	Soy un loco extravagante   
confianza	Antes yo era buena, ahora lo sigo siendo, pero no con todos.  
confianza	No sólo honramos a Dios trabajando adecuadamente ,   en el tiempo y forma correctos,   sino también descansando y divirtiéndonos adecuadamente,   en el tiempo y forma correctos  El descanso importa. Y mucho.
confianza	que quieren que suba hoy?   
confianza	Será que enamoro a alguien en 2 días para pasar navidad juntos ?     
confianza	Mientras haya salud...  
confianza	Vamos a por el carnet de moto 
confianza	el dia q decore mi cuarto con cosas de mis favs no kiero q mi familia se quede a dormir ahi en serio duerman en la sala no me importa si vienen de visita solo no vengan mejor   nomas mi abuela y mis papas
confianza	Oigannn, nunca se crean el ya voy llegando y menos de mi  
confianza	Me dió nostalgia Ayer recordando con las muchachas lo felices que éramos en ese 2019 
confianza	Mañana tengo el último examen de diciembre y estoy de blancazo, no retengo nada a parte de la parte práctica y me da realmente igual  
confianza	Trabajando en los últimos pedidos antes de Navidad  Muchísimas Gracias por vuestra confianza a la hora de encargarme vuestros regalitos  Deseo os guste el resultado... y deseo que paséis una Felices Fiestas    Abrazos Gigantes   Terapias y Artesanía  Link in Bio
confianza	La verdad yo estoy muy ocupada y el silencio de Kep1er pues no me importaba mucho pero creo q ya llega un punto en el q empezó a notar su ausencia pq hay 0 contenido. La verdad, ya es preocupante pq no mucha gente es capaz de esperar tanto  como digo yo voy a esperar paciente
