etiqueta	texto
desagrado	Joder es que me encuentro fatal     
desagrado	Horrible mi día, no me pude levantar de la cama 
desagrado	No puede ser que no pueda dormir un poco más   
desagrado	Cuarta dosis?!?!?!?!           
desagrado	Que bronca no puedo dormir   
desagrado	Me preocupa que opino lo mismo que Miguel Bosé, me preocupa, todavía más, que la gente sigue creyendo lo contrario.      
desagrado	Te odio y te amo Marvel   
desagrado	cómo que...cómo que no me ha tocado el gordo?            
desagrado	Si tu vida es tan perfecta por que tienes que hablar tan mal de la del resto ?      
desagrado	He soñado un par de veces el último mes que me despierto y vuelvo a tener miopía y astigmatismo   , o sea, que no veo casi nada. Como en la época en la que no podía ni tomar un baño o comer si no traía lentes
desagrado	Cansada de levantarme todos los días a las 7    
desagrado	Dadme las felices fiestas que todavía te tiro una silla a la cabeza   
desagrado	Hay gente que te hace vivir un infierno, pero le dice a todo el mundo que el diablo sos vos y se cree la víctima del cuento. IMPRESIONANTE   
desagrado	Me hace gracia, mayor número de positivos de toda la pandemia, menos número de muertes en toda la pandemia. Alguien me da que está metiendo todos los positivos que nos son de covid en el mismo saco   
desagrado	Yo y mi costumbre de acostarme tarde cuando al otro día me tengo que levantar temprano   
desagrado	maldito aire acondicionado, me levanto resfriada todas las mañanas   
desagrado	Quisiera hablar idioma gato Pa decirle a mi gata QUE NO ME GUSTAN LAS RATAS VIVAS, ayer la dejé que durmiera conmigo y hoy me trae una   
desagrado	Re feo ser siempre la que tiene la iniciativa    hasta cuando ori
desagrado	Alam mi papá me despertó para abrirle y llegó como kotex nocturna, ahh pero no fuera yo pq permiso hasta las 12pm 
desagrado	Mi hermano se fue hace 3 días más o menos con su chica y ni se acuerda de la familia   
desagrado	8 de la mañana y ya hace 25 grados, cómo les puede gustar esto!? Es algo que no entiendo   
desagrado	Soñé que estaba en un campo gigante donde me trataban de cazar porque no tenía la carta de recomendación de la familia dueña del lugar, qué vaina, me sentí en una mezcla como de Black Mirror y La Purga.    Me desperté antes de que se dieran cuenta que estaba escapando.
desagrado	Me estoy poniendo mala, la gente se creerá q es el covid, pero esque a una le gusta salir un día de lluvia sin paraguas  
desagrado	Tengo la pollera , pero no tengo el top para el viernes   
desagrado	Detesto q me acorda   
desagrado	La sensación de que se te olvida algo y no saber el q...  
desagrado	He evitado que atropellasen a mi madre y en agradecimiento se ha cabreado conmigo por echarle la responsabilidad a ella       
desagrado	Me puse a mirar los recuerdos y que bueno, tierno y cargoso que soy de novio, pero nadie me quiere
desagrado	o me dan unos besos y abrazos ahora mismo o me MUERO no es broma......    
