etiqueta	texto
disgusto	La lotería no se pero Pedrito podría darme novedades de la beca e ingresármela ya   
disgusto	¿Otra vez mala? No salgo de una que me meto en otra.. Puto resfriado..  
disgusto	A los que os quejáis de no entender gallego os reto a decirme que dice Slo Mo   
disgusto	Cuando te encontras conocidos   ️.. en la fila para hisoparte   ..
disgusto	que guapa estás, la cosa es que tienes novio  
disgusto	Que vuelta esa gente se victimiza y lo publica en redes sociales   
disgusto	No hay momento que me sienta mas vieja que cuando me sorprendo diciendo o pensando: anda, ya se acabó el año  jajjajajjaj
disgusto	dalila mili y sole pasaron navidad juntas     ️  ️  ️
disgusto	En el grupo de las gordas se discute si podemos mezclar sandía con vino        Yo digo; vengaaaa
disgusto	El diita se está poniendo...   
disgusto	Mi flaca me va a matar con el corte de pelo que me voy a tirar pero es necesario ya un cambio total de look       
disgusto	que yo debería haber ido al instituto de 8 a 11 pq es el último día de clases y me acabo de levantar ahora a las 11 vale     
disgusto	Me levante muy temprano porque tenia que viajar y no había yerba para el mate  
disgusto	Lo malo de tener padres religiosos es que te vendan todas las pajas de la biblia, perdonar al prójimo, la unión familiar, estamos hechos a las semejanzas de dios y pare de contar   
disgusto	Ya me cansé de jugar el mismo jueguito de hace aprox. 12 hs   
disgusto	ala ya no me toca el gordo  
disgusto	Me levanté temprano para ir al centro porque tenía que comprar UNA sola cosa, hasta que me acordé que e 2212 y está todo explotado 
disgusto	Hoy me tatúo        
disgusto	La hora que es y ya empiezo a transpirar, que asco   
disgusto	"Que pena que se estén robando los bonos navideños personas que ni siquiera los necesitan , y acá es donde entra el dicho       ,""vemos la paja en el ojo ajeno y no vemos la viga que tenemos en el nuestro""."
disgusto	Me he dejado los auriculares    en Salamanca   _ una genia soy
disgusto	Puto sueñoooooooo 
disgusto	Alguien más quiere vender su entrada de la gran navidad   
disgusto	Todavía tengo que comprar los regalos   
disgusto	nos ha hablado por megafonía el conductor del tranvía    no somos dignos
disgusto	ya no puedo fantasmear a las personas.  
disgusto	Los cajeros de san gui o no funcionan o no tienen dinero nunca durante la semana   
disgusto	Un 25 de mierda   
disgusto	Despierta desde las 5 de la mañana, gracias lluvia   
disgusto	nuria deja de tomar café  
disgusto	"La comparación con el debate de la ley antitabaco, donde se justifica la sanidad universal gratuita porque es una adicción y, claro, tiene disculpa     No se trata de que sea una enfermedad ""justificada"", señora. Se trata de que se proporciona sanidad gratuita universal o no."
disgusto	LA DOBLE MORAL  Todos defendiendo a Mark Anthony por su fama y demás pero si las muecas las hace el Tata, algún picotero o hasta el mismo Silvestre que un día por algo parecido le cayeron encima, todos estarían hablando buena monda. De burros y periqueros no nos iban a bajar.      
disgusto	Necia la gente que quiere poner pura banda porque está hasta la Vrga cuando todos traen el perreo aún   
disgusto	Me enferma que sean tan irresponsables   
disgusto	Que fiebre tan malparidaaaa      
disgusto	Al menos es curro para Lo Del Año Que Viene        PERO MUCHO CURRO      
