etiqueta	texto
ira	voy a vengarme de ese marica  
ira	como vuelva a ver una foto de un pito me lo como y punto!  
ira	odio tanto estar enferma  
ira	Aaa mi amigo me está cambiando por su ruka      
ira	estoy   con el último de ojo de halcón
ira	Joder tío que puta mañana mas estresante, y solo son las 12:53   
ira	Sí estoy vacunada, pero no me deja poner mis datos en la f app para el certificado        
ira	Tiene narices que una tarjeta de sonido Sound Blaster Live!, que iba estupenda cuando en la torre retro tenía el Pentium II, ha dado cantidad de problemas al actualizarle la placa base y la CPU a las del Pentium 4   
ira	Estaria necesitando unos tereees!
ira	quiero comprar katsuobushi     q rico está
ira	Muna ya pesa 543 GRAMOS    
ira	Pero había un juego en especial q me sacaba de mi zona de confort.  
ira	Humedad, calor, bichos, sapos , moscas  
ira	Final de año literal, se pusieron de acuerdo parece   
ira	Qué pedo? Cómo qué Vega a Rayados  
ira	Estoy tratando de estar más tiempo en el sueño profundo, pero con hoy es el tercer día que duermo 3 hrs 33 min. ¿Me quedo en el 333? O sigo tratando de aumentar?            
ira	Y el gordo calló a 15 minutos de mi casa en un centro comercial y no compre número ahí este año cuando.lo año siempre, me cago en todo      
ira	Que sistema de mierda que tienen los banco Lrpm   
ira	A qué vrga me desperté a las 6:30 de la mañana?   
ira	ahora mismo deberíamos estar en nuestras casas viendo la lotería no en clase   
ira	Jazmin d mierda cada vez que allyson duerme con nosotras se va con ella ta bn así son que vaya allyson a comprarte los kilos de cat chow que pedis x mes  
ira	Re podrida de soñar siempre lo mismo   
ira	Me cago en Juanma y en la educación física         
ira	menstruación    
ira	Btw hace mas de dos años que retrasaron minions 2   
ira	Estoy muy cabreado con los cabrones y cada dia mas ladrones y que el estado español les permita a los bancos robar como roban me estoy refiriendo a las comisiones desmesuradas que te cobran          
ira	No tome ni mierda, y por tomar un maldito trajo de bols no paro de vomitar     
ira	ME HA TOCADO!!!  seguir madrugando y cagándome en mi puta vida   
ira	ay que bronca la puta madre  
ira	A mi no me pongas “mismo manejo” mándame alv mejor...   
ira	q bronca despertarme antes de que suene la alarma   
ira	Una quiere volver de la gira y q este su re amor en la cama y no ,lo único q hay es la pila de ropa que me probé antes de salir y la perra con el culo en la almohada  
ira	Culia no se si vender la entrada de la gran navidad, o esperar para ver que onda o ke   
ira	Va ignorame, pero a ver quien te deja comer ensalada de manzana de sus chichis  
ira	    NO ME LO PUEDO CREER! ¡ME HA TOCADO! ¡ME HA TOCADO! ¡ME HA TOCADO LA DESGRACIA DE ESTUDIAR EN LA UNIVERSIDAD DE VALLADOLID! ¡COMPARTE EN TU MURO SI TÚ TAMBIÉN!
ira	No puedo dormir porque no puedo respirar    maldetaaaaaa gripe.
ira	Consejo del dia... Cierren el put... Ciclo... Y sean felices!    Con mucho amor les digo
ira	Re caros están los juguetes   
ira	ni nada .... Bien pues ahora mísmo mi hija tiene fiebre ... Y ahora que .... Pues a denunciar a estos médicos y enfermeras , que nos proporcionaron un trato malísimo y despectivo ....  Bueno este es SALUD NO RESPONDE y la gente que te atiende tampoco        
ira	Que rabia, lo quiero solo para mi  
ira	QUE CALOR SORECHUCHADETUMADRE     
ira	Una semana trabajando y ya no soporto a la gente, tan mal educada va a ser?. Y encima siempre el cliente tiene la razón   
