etiqueta	texto
miedo	Que estrés comprarle el regalo a la suegra   
miedo	Mi jefa me dejó me dejó la tarea de cuidar las plantas del estudio... Que miedo...
miedo	Soy yo o este año vamos a pasar una Navidad de mierda por culpa del ornitorrinco ese!?  
miedo	Esas mujeres que piensan que uno se les acerca solo para cogerlas...  quién les hizo tanto daño?      
miedo	y hoy sabadooo    que se hace?
miedo	Verga es hoy                 
miedo	Tembló la tierra, y fue bien fuerte   
miedo	Me da miedo que un dia de estos mi cuyito se infarte de tanta pirotecnia que tiran   
miedo	Me siento feliz y ansiosa   
miedo	Hablar de nosotros eso es haram
miedo	Bueno aparentemente en Córdoba no estaría habiendo ni una persona sin COVID.    
miedo	el doctor strange    yo verse todo el percal y no decir una sola palabra
