etiqueta	texto
no sabe	como les rompi el culito  
no sabe	Estoy controlando ver mis redes sociales de Spiderman pero las notificaciones de las cuentas que sigo en YouTube no colaboran vale.   
no sabe	 Uss en el cine. Me wa a ver el spayderman   
no sabe	No sentimos ningún temblor en la capital.   
no sabe	Novio   
no sabe	Solo tengo tik tok para cantar canciones de reggaetón   jajaja.
no sabe	ME REGALARON EN EL INTERCAMBIO MM Y MITAM  ️  
no sabe	Hoy también quería tomar sol y se nubla  
no sabe	Conala cona : 910 me lo dice carlos y me da risa Gorda: 100010 como me llaman carlos y victoria cuando me dicen cosas bonitas  Gordichuela: 210 me lo dice carlos solo pa joder Esperanza Aguirre: 310 josema  Blobfish: 110 otra vez Josema virtual     
no sabe	Temblor fuerte en Santiago
no sabe	Amistad sincera para hacer de todo juntos sin rajar.  
no sabe	"     Es un gran orgullo!! Por fin, por primera vez en la historia nos tocan celebrar en nuestra casa ""OLIVO ARENA"" LA COPA DE ESPAÑA 2O22!! Y con muchísima alegría de recibir y leer las felicitaciones.  JAÉN, MI BELLA CIUDAD"
no sabe	El gordo ya lo tiene el Madrid por partida doble.   Hazard e isco 
no sabe	Al ex o al ex ex    ️
no sabe	A mí me puedes estar tirando indirectas y no las capto hasta 2 años después      
no sabe	Porque las personas se estan aplicando refuerzo de pfizer y tienen sus dos dosis de atrazeneca?      
no sabe	Faltan 79 días para entrar en el domo   
no sabe	“Cuando cualquiera la puede tener”    
no sabe	Salga mal o no soy preciosa...   
no sabe	Quiero hacerle un gol a tu corazón, pero no me lo atajes por favor…  
no sabe	El pipo  
no sabe	8 am, despierto, pero si seré hijo de puta también   
no sabe	Buenos días a todos, me pregunto una cosa a esta hora sigue el Sevilla de Lopetegui dando patadas??   
no sabe	Nono las uñitas que se vienen haciendo mis clientas   
no sabe	Estoy empezando a reaccionar a las storys con    y  oficialmente una señora no hay quien me pare
no sabe	El Dont rescue me y el You re on your own irán de la mano cuando caigan rápido   
no sabe	Escuchando calle 13 amanecí   
no sabe	Ya es oficial el uso de HbA1c(*) en Chile como criterio diagnóstico de DM2     (*) por cromatografía liquida de alta resolución (HPLC) o inmunoensayo
no sabe	pani nam zyczyla feliz navidad y próspero año nuevo 
no sabe	O el cargador?   
no sabe	Guatemala es un pueblo…   
no sabe	Se habla incluso de solamente horas para anunciar a Ferran Torres   
no sabe	No spoileen la película que salió el finde pasado pero vayan spoileando la que sale el año que viene   
no sabe	es normal que cuando me despierte siempre despierte temblando   ? pienso
no sabe	On Live: Mi mayor preocupación es que no se podrá conectar con los dispositivos que tengo que son de Apple, pero puedo tomar la foto en el trabajo, o simplemente puedo usar el que tengo para tomar una foto mientras tengo mi nuevo teléfono celular.
no sabe	Cómo cuesta seguir trabajando así con tantas injusticias .... Todos ahora con cuña política      
no sabe	No importa, luego irá a Netflix!! .
no sabe	Que pinta después del pique con este calor      
no sabe	8 de la mañana y yo llamándola a juli, me va a odiar    
no sabe	De verdad la gente pelea por un asiento a las 7am?   
no sabe	Las ganas de tomar un Tere 
no sabe	Eu quien dijo q no      
no sabe	Hoy juega el Real Madrid a las 21:30 y El Hormiguero a las 21:45 con los Sainz como invitados     
no sabe	Pegue changuita dsp de horario  
no sabe	Yo siempre tengo un sticker para cada situación.   
no sabe	Ya llegaron los reyes magos, escuché a la vecina decir baja melshort   
no sabe	Faltas un día al trabajo y se acumulan pendientes como si hubiesen pasado 2 semanas.   
no sabe	analisando  
no sabe	Chavales que Guadalpark ha abierto un parque nuevo en la Cruz Mármol   
no sabe	Tengo que cocinar y no sé qué cocinar, pero tengo ganas de papitas fritas   
no sabe	Hostia el petardazo   
no sabe	Leíto no hizo carta de despedidaagradecimiento???         
no sabe	Hace 2 años aprox que no vemos tv cable. Recomiendo  
no sabe	pengen cubit pipi jeje  
no sabe	ME HA TOCADO      ME HA TOCADO      ME HA TOCADO      ME HA TOCADO      ME HA TOCADO      ME HA TOCADO      ME HA TOCADO      ME HA TOCADO suspender 2
no sabe	Soñé que Jk tenía Tik tok y que si nombre de usuario era como el de Instaa  
no sabe	Daaaale que es el ante último día laboral bebeeeeeeeeee    
no sabe	esto me pasa por confiar en un francés  
no sabe	   Estos distintivos organismos comienzan su vida de forma totalmente simétrica, mejor dicho, con simetría bilateral, donde su lado izquierdo es aproximadamente igual o similar a su lado derecho, como ocurre en la gran mayoría de los peces.
no sabe	Tan dando de a $100 por el booster shot, voy por mi tercera dosis, pero si me ponen la cuarta y quinta no me pongo guapa no  Pa’ ahorrar tiempo y eso ve
no sabe	a mi madre le ha tocado 200€   
no sabe	La historia de hobi geeeeenteee ahhhhhhhhhhh               el edit 
no sabe	Por fin se me vienen dando las buenas locoooo! 
no sabe	screen profilo?  
no sabe	Recomiendan ver Esposas Desesperadas?  
no sabe	mi mamá poniendo el radio en su teléfono si aplica la de hasta que truene la bocina   
no sabe	Ayuda como rayos uso ig       
no sabe	Esta lloviendo y el agua moja
no sabe	Tercera dosis anti covid y en camino para la cuarta algo no anda bien.      
no sabe	Yo;     Me acuerdo que esta la CA awards  Yo :   ️
no sabe	Shockeado con las expensas de algunos lugares, 45mil     
no sabe	Ya se me calentó el hocico   
no sabe	Sobre que no pude dormir en toda la noche mi vieja me despertó a las 08:00   
no sabe	Madre mia, los truenos   
no sabe	Aichino aprobameee
no sabe	Feliz día para todos mis lindos y queridos seguidores, q este sea un miércoles de muchas bendiciones alegrías y sobre todo de la presencia de nuestro señor Jesucristo  
no sabe	¡NO ME LO CREO! ¡ME HA TOCADO! ¡ME HA TOCADO! ¡ME HA TOCADO LA SUERTE DE SER DEL VILLARREAL!  ¡COMPARTE EN TU MURO SI A TI TAMBIEN!   
no sabe	Me a moa: bsf a engene:      Ewan ko ba
no sabe	Y si me hago un piercing hoy?      
no sabe	Estoy tratando de empezar a juzgar desde la intención y no la acción. Es la única forma de vivir tranquilo y de intentar entender al otro
no sabe	+ Amor Aller cuando estaba con tigo sentí que algo en mi se rompio..  Hay mi amor q lindo + Y si.. cuando revise fue el condón  Eh?  
no sabe	terminé the oc   
no sabe	A que os referis con jimin leg, a la pierna de jimin o a jimin legolas (jimin extensiones)   
no sabe	El 24 durmiendo y el 31 re durmiendo 
no sabe	⌚ 11:00 Orden   Compra: 6750  6810  maxicambios 6750  6810  myd 6750  6810  chaco 6750  6800  euro 6750  6950  basa 6740  6865  familiar 6730  6840  fe 6730  6830  vision 6700  6850  bnf
no sabe	Quiero mutuals   
no sabe	Buen momento para que las cordales duelan hdspm   
no sabe	En RD🇩🇴 No Se Dice Permiso   Se Dice:
no sabe	Lanús    Banfield  Reírse de la gallina de la B Quilmes
no sabe	La actualidad del fandom ahora:  Alterados porque Karol confirmó que va a ver Tour para el siguiente año   
no sabe	"Parece ser que la multa es sólo si vas a trabajar, ""pudiendo"" trabajar desde casa, por lo que la policía deberá comprobar si ese es el caso. ¿Y el consentimiento para entrar en el domicilio? No hay flagrante delito ni resolución judicial.  Ah, que si no le ponen la multa.  "
no sabe	Si te peleas con todos los del trabajo y entre ellos todos se llevan bien, quién es el problema?      
no sabe	una cabaña, paisaje nevado, hogar encendido y mi gorro de mamá noel, pensalo (?!)    
no sabe	Cuando en la tele se habla de ‘ha caído el Gordo en un barrio trabajador’ no entiendo si es que la gran mayoría de barrios no trabajan o algo…   
no sabe	Que feo clw golpiarte y no poder ir ha trabajar x un mes y algo no pode hacer ni bosta y andar seco
no sabe	FELIZ CUMPLEAÑOS LOUIS &lt;33    
no sabe	Y os sorprende pillar covid después de la Gamergy?   
no sabe	Pero temprano me dormí anoche  
no sabe	Buen diaaaa bebeeees     Hoy vuelvo a trabajar, la emoción que manejo     ️
no sabe	Foco total   
no sabe	La maldita costumbre de no apagar el aire y después levantarme congestionada   
no sabe	No tengo permiso de mi papá aún      
no sabe	Si te metes con genshin me la metes a mi también ya no aguanto más soy Virgen           
no sabe	...86.148 por cinco números  
no sabe	Mi duda es ¿que le conocen a Taehui?   
no sabe	Fin de año nivel me quedo dormida en el bondi y me bajo 80 paradas después.  Muy bien por suerte, poco estrés y cansancio  
no sabe	Por fa, me podrían explicar como personas que huyeron del socialismo, celebran el triunfo del socialismo en el país que llegaron de inmigrante ? Soy un ignorante en el tema   
no sabe	PD. Estoy en la cola de Zara después de haber superado los pasos anteriores   
no sabe	Killian    yo.  Ser productivos y contestar roles ahora.
no sabe	tome muchas malas decisiones este año, pero las anécdotas
no sabe	Porqué el Gordo sólo le ha tocado a gordos??      
no sabe	hace 11 años lo llamaba por su cumpleaños        ahora están juntitos durmiendo   ️
no sabe	Ferran  .....  
no sabe	Hay un chico en el gym con los pantalones del revés con muchas etiquetas colgando, le aviso o le dejo darse cuenta en su casa ?   
no sabe	Vaya por dios, otro año sin ser rica.   
no sabe	Me apetece un bocata de salchichas a la brasa  
no sabe	Que ganas de estar con los de siempre fumando porro y tomando birra   
no sabe	Llegué media hora antes al trabajo   
