etiqueta	texto
sorpresa	Que peligro yo suelta por ahí con una tarjeta    a quien se le habrá ocurrido
sorpresa	Han cachao que cuando uno responde “no” a cuando te preguntas si estás bien, a la gente le explota la cabeza    No están acostumbrados a esa respuesta.
sorpresa	Me tocooooo   
sorpresa	Todavía no asimilo que estamos a un par de días para que se acabe el año.   
sorpresa	Nunca antes había tenido tanta gente conocida con COVID como con esta nueva variante,es impresionante     
sorpresa	Me faltan 6 capítulos para acabar Alabasta   
sorpresa	Capaz me compré otro celu che            pero cuál      
sorpresa	Este año me puso tanto a prueba .. q lo único que puedo es agradecer .. y ayudar poco o mucho a otros a hecho q en definitiva mi corazón se llene de alegría     ️
sorpresa	$Luna.    
sorpresa	Estaba escuchando un podcast sobre los patrones y   
sorpresa	Para que me enferme así loco         
sorpresa	Traigo una canción en mi mente y van dos días que la escucho en la calle, es como si leyeran mi mente   
sorpresa	Vine de la psicóloga así   
sorpresa	Si el año pasado nomas estaba cara la bebida, no me quiero imaginar este año        5mil mínimo para pegarte una buena chupa
sorpresa	faith in the lotería del niño  
sorpresa	Los madridistas rabiando porque ayer expulsan a Kounde por agredir a Alba    Alguien me lo puede explicar?
sorpresa	Creo que está lloviendo hoy en Sevilla lo que no ha llovido en todo el 2021 ⛈️
sorpresa	cuando es el cumpleaños d marta?  
sorpresa	estoy en panamá         
sorpresa	Con la Anto somos tan ridículamente iguales que el otro día llegó a mi casa con el mismo traje de baño que tenía yo   
sorpresa	Como van terminando el año? Yo tranqui, me enteré me enteré mediante un estudio que en algún momento tuve un ACV         
sorpresa	Mi entrenamiento de hoy me dejo sin caminar   
sorpresa	Me compre nose cuantas cosas para ponerme para la fiestas y ahora nada me gusta
sorpresa	La segunda escena postcrédito de Spiderman aaaaaaa   
sorpresa	estaba hasta el pito de fila para hisoparse en el centro   
sorpresa	Hoy me reporto con un incremento en mis niveles de ganas de dejarlo todo y dedicarme a la bebeción. Será solo diciembre o los vicios adquiridos hacia las sustancias estupefacientes?  Pienso...       
sorpresa	Eeehhh el rayo que ha caído en Sevilla, que ha deslumbrado todo y que ha sonado como si se cayera el cielo???????? Madre mía han retumbado los cristales como 15 segundos   
sorpresa	16 mins pa llegar   
sorpresa	En qué momento pase de recibir regalos a ser yo el mismísimo  PAPA NOEL    
sorpresa	He ido al Aldi a comprar un roscón de reyes, con la firme intención de NO COMPRAR NINGUNA PLANTA  ¿Cómo creéis que ha acabado la cosa?   
sorpresa	yo hablo demasiado o la gente habla muy poco   
sorpresa	Bueno no se ni como aprobé portugués pero el finde se festeja  
sorpresa	Seré el karma de muchas personas????     
sorpresa	Un accidente frente a mi edificio, un motoquero se sacó la chucha y quedó atravesado en la calle ...venía curado.  Llegaron los amigos y se lo llevaron al sapu.   
sorpresa	HERMANO VOY A BORRAR ESTO O HANMA ME C0RTA LA CABEZA     
sorpresa	Oye, yo pensé que Metanoia ya no existía y sigue vendiendo   
sorpresa	Cómo va a ser el sorteo de la loteria hoy, si yo no he visto ni el anuncio???     
sorpresa	Me acabo de enterar que The Veronicas sacaron un nuevo álbum   
sorpresa	alaaaaa  , pero si es un todos con todos
sorpresa	Vaya día de locos que llevo, madre mía   
sorpresa	Tuve un sueño inception, soñé que estaba soñando y luego estaba comentando el sueño en el sueño   
sorpresa	¡Número íntegro en San Pedro Alcántara!           
sorpresa	mi para ti de tik tok anda muy personal   
sorpresa	Literalmente tengo una novia gótica culona       
sorpresa	"RÉCORD:   _ ""El Ómicron es el virus que se ha propagado más rápido que cualquier otro virus en la historia""     Bill Gates"
sorpresa	Pregunta sería gente!  Empanadas Don Ramon? Referencias?  Los leo   
sorpresa	Una pareja decide suicidarse saltando de un edificio. Cuando llegaron a la cima, ambos contaron hasta 3. La mujer saltó pero el hombre se quedó ahí. El la observó caer durante 8 segundos y luego la vio sacar un paracaídas. ¿Quién traicionó a quién?   
sorpresa	¿Quién me entiende? Ahora estoy feliz   
sorpresa	Y todos estos comediantes expertos en deportes que han salido en las redes?!     
sorpresa	Ayuda no puedo salir del subsuelo de Pokémon Perla es taaan adictivo     
sorpresa	Mi hermano ya paso a secundaria en que momento creció tantoo     
sorpresa	Acabo de escuchar el petardazo en forma de trueno más fuerte de mi vida          vaya pepinazooooo
sorpresa	Q son estas ganas de cortarme el pelo cortito otra vez?  
sorpresa	Fui a sacar efvo y solo tenían 2mil. El flaco me miró con cara de y si negri son las 7a.m.   
sorpresa	Leoescucho que Bordalas ha pedido fichajes, que se busca un central y un mediocentro, que no se descarta un delantero, que suena Godin, Gonzalo Villar, etc  Pero Héctor Gómez dice que es imposible fichar.   ¿No será otra mentira de Héctor para intoxicar verdad?      
sorpresa	Estas re tranqui y de repente faltan DOS días para navidad
sorpresa	Me compre hace un tiempo atrás un perfume Channel en la Zofri, 89.990 me salió   .. Dije ctm la huea cara (pero no importa trabajo y me saco la cresta). Ayer fui al Mall en Chillán mismo perfume Channel pregunte valor y me dijo la niña:
sorpresa	Ciro ni me mira, anda loco   
sorpresa	¿Se fijaron; que ayer fue el último día 21, del año 21, del Siglo XXI?     
sorpresa	dios mío como voy a ser hija de una clasista 
sorpresa	¡86.148! Ya tenemos el gordo      
sorpresa	Tuve un sueño bn raro 
sorpresa	Porque a tantos les molesta que Barracas Central allá clasificado a Primera? Si Boca tiene que jugar allá cuál es el problema?      
sorpresa	ON live : he estado jugando mucho al tablero de ajedrez. Por lo que mis dedos tienen esta forma.
sorpresa	Una semana para mi cumple   
