etiqueta	texto
tristeza	Lpm, y ahora no me puedo dormir   
tristeza	Mi corazoncito en mil pedazos   ️   
tristeza	Mi novio se la pasa comprándome alfajores, gomitas, helado, mc donals. TODOS LOS DÍAS. Ta bien igual ni quería llegar al verano  
tristeza	Es increíble lo que estoy viviendo esta última semana,de problema en problema voy cuando más quiero hacer las cosas bien   . Que suerte
tristeza	Esas ganas de un tremendo mañanero y no tener con quién 
tristeza	que dolor escuchar las nv de los que ya no están con nosotros  
tristeza	que viene gisela a molina a cantar. concert kids??? perdona, es concert teens porque no me lo puedo perder    
tristeza	tanto pa decir pero a veces sobran las palabras   
tristeza	bueno se acabó lo que se daba   
tristeza	Que manía la de levantarme temprano, innecesario   
tristeza	sueño     frío   se acabó para él.
tristeza	Me caga enfermarme porque no me puedo besukiar a mi novio   
tristeza	"Broma pesada a mi  Trabajo un 25 para ""distraerme""        "
tristeza	Después vuelven las 5 y se agarran a las piñas 
tristeza	Seguiré durmiendo pero tristica porque no tengo a mi chamita aquí al laito  
tristeza	Que cansancio que tengoooooooo quiero dormir 18272728 horas mas   
tristeza	No me toca ni la lotería.   
tristeza	Extraño hablar con ella   
tristeza	Gastroenterocolitis y no poder salir del baño en toda la noche. Hermosa manera de terminar el año lavando bombachas y sentada en el water dijo nadie nunca 
tristeza	La verdad yo si quería todo con vos maje   
tristeza	llevo desde el jueves acostandome a las 3 y levantandome a las 11  al menos ya no me sentiré culpable pq hoy se acaban las clases  
tristeza	El martes pasado mí psicóloga se tomó vacas hasta el 3 de enero y yo necesito charlar con esa mujerrrrrrr  Tengo que aguantar HASTA ENERO.  No falta mucho pero para mí es un montonnn
tristeza	Volvi, estaba de viaje
tristeza	Tengo muchisimo sueño pero no puedo dormir,bosteso como una hipopotamo   
tristeza	Acá a que pueda ir al banco ahora   
tristeza	Quieroo lass fotoss de mis 15     
tristeza	Antes tenía 2 mensajes sin contestar, ahora tengo 20 y entre más se juntan más me da hueva abrirlos y más pena contestarlos.   
tristeza	Quel golazo de l'Indonésie       
tristeza	A mi me tienen que explicar qué necesidad hay de sacar aviones un 24 de diciembre que aterrizan a las 00:00   
tristeza	Oye si alguien que viva en Sevilla quiere 2 entradas para ver la de spiderman hoy a las 16 que me lo diga que yo no puedo ir porque está inundada la autopista  
tristeza	Estaba cocinando garbanzos ahorita y se me regó la sal    igual me los comí   ️ ahora tengo sed   
tristeza	Maldita vacuna me tiene toda adolorida 
tristeza	Eh pasado las peores navidades desde hace 3 años       
tristeza	O final de Hawkeye   
tristeza	Otro dia largo hoy   
tristeza	          omg sueldo hiiiii  ️  *se lo gasta todo en regalos*         
