anger;detesto la gente irresponsable para que pedis un turno si siempre cancelas a ultima hora maldecir
anticipation;pregunta seria a tu cogiamigo se le regala algo para navidad o nel pastel pensativo
trust;pero esta bien no voy a demostrar q me afecta pulgar pulgar pulgar pulgar
disgust;puto suenoooooooo ansioso
disgust;todavia tengo que comprar los regalos desconcertado
sadness;otro de diciembre sin decir ay amor ya tiraste el ponche estas todo estupido decepcionado
anger;en serio mi paciencia esta por caducar la gente me agota desconcertado
disgust;necia la gente que quiere poner pura banda porque esta hasta la vrga cuando todos traen el perreo aun frustrado
sadness;tan lindoo mi bleizer amarillo y mi hija me lo pinto todo triste triste
anger;me enferma que sean tan irresponsables frustrado
anger;no les voy a decir quien se volvio caminando con lluvia anoche y tiene la garganta pateada frustrado
anticipation;hoy me tatuo aterrado aterrado aterrado aterrado
disgust;que guapa estas la cosa es que tienes novio enfadado
joy;mi madre nos ha regalado flores a andrea y a mi acuerdo
disgust;despierta desde las de la manana gracias lluvia frustrado
surprise;mi para ti de tik tok anda muy personal enfadado
anger;imagina pasarse 10min peinandome delante del espejo para que salga a la calle me de el viento y acabe pareciendo javier bardem enfadado
surprise;no les pasa que tienen alergia a todas las mascotas pero menos a la suya asombrado
anger;la puta mierda de vida que llevo frustrado
anger;a los que os quejais de no entender gallego os reto a decirme que dice slo mo desconcertado
joy;felizzzzz pq hoy me voy a mi casa fiesta bailar
disgust;no hay momento que me sienta mas vieja que cuando me sorprendo diciendo o pensando anda ya se acabo el ano ansioso jajjajajjaj
disgust;por que no se os llena la boca hablando de la constitucion cuando dejan desamparados a menores desahucian a personas mayores no somos iguales antes la ley no voy a decir a q m huele porque ya lo sabemos todos avergonzado avergonzado
joy;ayer me llego mucho carinito adorar
joy;hoy es dia de fiesta confeti
anger;la comparacion con el debate de la ley anti tabaco donde se justifica la sanidad universal gratuita porque es una adiccion y claro tiene disculpa frustrado no se trata de que sea una enfermedad justificada senora se trata de que se proporciona sanidad gratuita universal o no
disgust;nuria deja de tomar cafe enfadado
disgust;la gente se vive quejando de que no hay citas en la eps pero cuando no pueden asistir no cancelan ansioso
surprise;chocoaventuras de otro nivel desconcertado
anger;que fiebre tan malparidaaaa desanimado desanimado desanimado
anger;la policia le tiene que hacer el llamado e informar a los victimas de poner la denuncia para que los delincuentes no salgan libres pensativo
anger;viste cuando dicen hoy no es mi dia buenooo hoy no es el mio enfadado
joy;me ha tocado me ha tocado confeti confeti la suerte de tener una increible comunidad fantasia
anger;la loteria no se pero pedrito podria darme novedades de la beca e ingresarmela ya cabreado
surprise;tuve un sueno inception sone que estaba sonando y luego estaba comentando el sueno en el sueno desconcertado
surprise;han cachao que cuando uno responde no a cuando te preguntas si estas bien a la gente le explota la cabeza desconcertado no estan acostumbrados a esa respuesta
