alegria	Ojala siga manteniendo su buen trato y cercanía hacia los alumnos, ya que crea un ambiente muy amigable y da gusto asistir a sus clases, además de que desarrolla temas que son de gran interés de los estudiantes de diseño. Que sea Jefe de carrera otra vez!
enojo	Revisar mas su gmail
ninguno	Excelente academico
ninguno	falta que realice ejemplos o casos mas complejos ya que siempre realiza casos basicos. el ramo es demasiado idealizado y falta aterrizarlo a la realidad, aplicando normas (nch). la planificacion del curso debe integrar la realizacion de casos reales
enojo	Falta compromiso con sus estudiantes, no hay como ubicarlo fuera del horario de clases.
ninguno	Excelente profesor, explica claramente. Mejorar la ortografía y pronunciación al dictar o comentar
ninguno	el profesor deberia ser mas dinamico, lamentablemente su forma de enseñar no logra captar la atencion de los estudiantes
enojo	Mal dominio de la materia. No explica bien. Poca empatía con sus alumnos.
ninguno	sin comentario
alegria	Me gusta su manera de aprendizaje
sorpresa	Buen profesor, genera confianza en el grupo.
enojo	Que las clases sean mas dinamicas
sorpresa	Explicación claray comprensible
alegria	Buen profesor, materia explicada de forma correcta y fácil de entender.
ninguno	no hay comentarios
ninguno	Excelente disponibilidad con sus alumnos, escucha y comprende las diversas situaciones que se le planteen.
ninguno	No refiere
ninguno	Encuentro interesante la forma de enseñanza del profesor
ninguno	Nada que decir
alegria	EXCELENTE profesora, la mejor de este primer semestre, un ejemplo de docente... muy preocupada por los estudiantes y muy comprometida con la asignatura
alegria	Buen profesor, explica claramente
alegria	son motivantes
ninguno	muy interactiva
ninguno	Buen electivo
enojo	hacer ellas lo ejercicios no su esposo por que no tiene dominio de ello solo los copia.
alegria	excelente profesora.
ninguno	no curse la asignatura con el profesor
ninguno	Buena profesora
sorpresa	buena profe
ninguno	buena onda
ninguno	Realiza muy buenas clases aclarando dudas de sus estudiantes y también entregando lo máximo de sí para todos nosotros.
tristeza	Demuestra mucho dominio de la tematica pero algo monotono lo que produce un poco de desinteres a la larga
ninguno	Excelente Docente, comprometido con sus estudiantes y preocupado de las situaciones que suceden con ellos.
ninguno	Que las clases sean más dinámicas
alegria	Todo bien
ninguno	no tengo sugerencias
alegria	Profesor comprometido con su asignatura.
alegria	En este taller de confidencialidad el profesor Félix  enseña muy bien y explica el objetivo al principio y final de cada clase, para que así los alumnos empiecen a practicar la confidencialidad que hay que tener en la carrera de psicología.
alegria	Excelente docente, muy buen profesor, conocimiento y dominio total del tema el cual enseña
ninguno	muy buena profesora, dedicada y sirven de mucho sus simulaciones
alegria	Excelente profesora, dedicada en su labor de enseñar .
ninguno	Calidad de docente, sus clases son un agrado de asistir porque se nota que le gusta lo que hace y enseña de la forma más clara hasta que todos los alumnos comprendan.
alegria	La profesora utiliza una buena metodología de enseñanza, sus clases son muy didácticas.
enojo	Estoy molesta por que en la cuesta de presenta la profesora corvalan siendo que en clases estaba el profesor Rodolfo que siempre evaluó nuestros trabajos, mi queja es por que evaluaba el profesorado Rodolfo si la clase lo hacia la profesora corvalan .
tristeza	crear un ambiente de trabajo mas agradable y menos autoritario, renovar material como guias ya que para aquellos que repiten el ramo no es una retroalimentacion, mas bien es un aprendizaje estructurado en el paso a paso de como resolver un ejercicio
alegria	excelente semestre con profesora jania bastías. trata de incluir a todos los estudiantes de su clase.
ninguno	Sin  comentarios
tristeza	Es una persona muy arrogante, que podria mejorar mucho
ninguno	Buen profesor
alegria	Buenas enseñanzas y un muy buen profesor
ninguno	Asignatura bien desarrollada
alegria	excelente profesor
enojo	Hace demaciadas evaluaciones innesesarias, y sus certamenes son muy extensos
alegria	Clases didáctica
alegria	Muy buena profesora
ninguno	Sin sugerencias
ninguno	que utilice lenguaje menos técnico en sus clases ya que cuesta comprender los contenidos.
alegria	Buen profesor
sorpresa	Que se expliquen mas a fondo los contenidos.
alegria	sus clases didácticas fueron las que me apoyaron para poder aprender aun mas.
ninguno	ayuda a entender lo que es en si la ICI
ninguno	buena e interactiva asignatura
ninguno	Se le pidió pauta de evaluación de un certamen y respondió con fotos de una hoja que decía ejercicio realizado en clases, siendo que no fue el mismo ejercicio, solo parecido
miedo	Menos rigidez al momento de evaluar, si bien no deberíamos ser nuevos en el inglés pero algo menos de rigidez es bueno para los nuevos estudiantes.
ninguno	muy buenas clases, pero no es muy abierto en el debate de temas tan subjetivos como la ética en las evaluaciones
enojo	su método de evaluación es malisimo, no tiene nada que ver respecto a guías propuestas o ejercicio en clase, el nivel de exigencia y de contenido de las evaluaciones supera con crece lo visto en clase.
alegria	buen profe
alegria	buen profesor
ninguno	Nada que agregar
alegria	se destaca la buena disposición que tiene para atender a las distintas problemáticas  que se presentan dentro de la asignatura, dando con ello soluciones oportunas.
alegria	Conoce el contenido y explica de manera clara
alegria	Siempre dispuesto a ayudar
miedo	En general bien.
ninguno	buena clase
ninguno	es el encargado del programa y no es aplicable a nuestra carrera
alegria	tiene una metodología de enseñanza muy buena y clara, simpatiza mucho con los estudiantes
alegria	buen profesor
ninguno	Creo que debería tener una retro alimentación de los casos que hacemos en clase
alegria	Excelente profesor
enojo	Muy didácticas las clases para entender mejor, pero debería entregar las notas en el plazo correspondiente
ninguno	Conoce lo que está enseñando.
ninguno	El profesor Sanchez es un muy buen academico. Sus clases son completas a pesar de que suele ser un poco disperso y nos cuesta un poco comprender algunas cosas en clases. A pesar de esto el profesor tiene buena disposicion a la hora de explicar nuevamente
ninguno	Entrega la información de forma muy clara y precisa, además de buena disposición para consultas fuera del horario de clases
alegria	explica de forma clara y precisa los temas en trabajo
sorpresa	Posee un muy buen dominio de la asignatura.
ninguno	Sin comentarios
alegria	eL PROFESOR ES MUY DEDICADO Y SE NOTA QUE  MaNEJA LO QUE ENSEÑA.
alegria	Buena profe
enojo	sugiero que los contenidos se relacionen con nuestra carrera.
ninguno	Continue con su metodologia de evaluacion
alegria	mucho dominio en la materia
ninguno	N sugerencia
ninguno	Es necesario considerar que esta encuesta no aplica mucho a Actividad de Titulación, ya que el trabajo con el profesor es individuaizado, no se hacen clase sino reuniones.
ninguno	Establecer un programa para cada opción de evaluación dentro del curso
ninguno	Buen manejo de contenidos, exelente disposicion para responder dudas en clases, no asi fuera del horario de ellas.
ninguno	buen profesor
ninguno	buena profe
enojo	Mal profe
ninguno	buen profesor
ninguno	Excelente profesor
sorpresa	Usar más material didactico
alegria	Exclenete profesora, hace falta una geografa con aquellas caracteristicas en nuestra universidad y en nuestra carrera, genera empatia, simpatia y un ambiente grato a diferencia de distintos profesores del area geografica.
sorpresa	Sin comentarios
ninguno	no aplica
alegria	Muy buen profesor
ninguno	no estuve en su sección
ninguno	redunda en detalles, cuando lo importante son otros aspectos.
alegria	Muy buen profesor, tiene mucha paciencia
ninguno	Profesor con muy buen manejo de contenidos.
alegria	Un 7.0 el profe
ninguno	Buena profesora
enojo	Cumplir con los horarios de clases
ninguno	Ninguna sugerencia
ninguno	tiene mucha  vocación
miedo	siempre preocupada por la asistencia y el rendimiento
alegria	Muy buenos laboratorios, nada que decir.
enojo	informe mas a que se deben sus notas
ninguno	Falta bibliografía para corroboración de datos, material complementario.
enojo	Mejorar los plazos de entregas de notas
ninguno	me gustaban sus clases
alegria	muy buen profesor al momento de enseñar
alegria	buen profe
sorpresa	buen académico, solo falta hacer ejercicios que clarifiquen las ideas.
alegria	buena profesora, domina bien los contenidos
ninguno	muy puntual
ninguno	comprensiva
sorpresa	no estoy segura si es mi profe de lab
ninguno	No es mi caso, pero algunos compañeros dicen que se sienten desdeñados o insultados de forma pasivo-agresiva durante su clase.
enojo	Mal docente.
alegria	Muy buena profesora
alegria	Excelente docente, muy empática y responsable con sus alumnos. Maneja muy bien los contenidos
enojo	organizar sus clases con anticipación y no en el momento
alegria	excelente docente, apoya a estudiantes, comprende sus situaciones y avanza según sus capacidades
alegria	Puntual, organizado y coherente con los contenidos
ninguno	Hacer mas presencia con los estudiantes, pero aun asi al momento de solicitarlo tiene muy buena disposicion.
enojo	debe resolver los ejercicios siendo menos subjetivo
alegria	profesor responsable y dedicado
ninguno	buena profe
enojo	Que pase mas tiempo en las clases
sorpresa	excelente profesora, pero deberia respetar los plazos para la entrega de notas de las evaluaciones
enojo	Más ejercicios y problemas en clases
ninguno	Muy buena disposición a ayudar
sorpresa	buena profesora y lider
