etiqueta	texto
alegria	Ojala siga manteniendo su buen trato y cercanía hacia los alumnos, ya que crea un ambiente muy amigable y da gusto asistir a sus clases, además de que desarrolla temas que son de gran interés de los estudiantes de diseño. Que sea Jefe de carrera otra vez!
alegria	Me gusta su manera de aprendizaje
alegria	Buen profesor, materia explicada de forma correcta y fácil de entender.
alegria	EXCELENTE profesora, la mejor de este primer semestre, un ejemplo de docente... muy preocupada por los estudiantes y muy comprometida con la asignatura
alegria	Buen profesor, explica claramente
alegria	son motivantes
alegria	excelente profesora.
alegria	Todo bien
alegria	Profesor comprometido con su asignatura.
alegria	En este taller de confidencialidad el profesor Félix  enseña muy bien y explica el objetivo al principio y final de cada clase, para que así los alumnos empiecen a practicar la confidencialidad que hay que tener en la carrera de psicología.
alegria	Excelente docente, muy buen profesor, conocimiento y dominio total del tema el cual enseña
alegria	Excelente profesora, dedicada en su labor de enseñar .
alegria	La profesora utiliza una buena metodología de enseñanza, sus clases son muy didácticas.
alegria	excelente semestre con profesora jania bastías. trata de incluir a todos los estudiantes de su clase.
alegria	Buenas enseñanzas y un muy buen profesor
alegria	excelente profesor
alegria	Clases didáctica
alegria	Muy buena profesora
alegria	Buen profesor
alegria	sus clases didácticas fueron las que me apoyaron para poder aprender aun mas.
alegria	buen profe
alegria	buen profesor
alegria	se destaca la buena disposición que tiene para atender a las distintas problemáticas  que se presentan dentro de la asignatura, dando con ello soluciones oportunas.
alegria	Conoce el contenido y explica de manera clara
alegria	Siempre dispuesto a ayudar
alegria	tiene una metodología de enseñanza muy buena y clara, simpatiza mucho con los estudiantes
alegria	buen profesor
alegria	Excelente profesor
alegria	explica de forma clara y precisa los temas en trabajo
alegria	eL PROFESOR ES MUY DEDICADO Y SE NOTA QUE  MaNEJA LO QUE ENSEÑA.
alegria	Buena profe
alegria	mucho dominio en la materia
alegria	Exclenete profesora, hace falta una geografa con aquellas caracteristicas en nuestra universidad y en nuestra carrera, genera empatia, simpatia y un ambiente grato a diferencia de distintos profesores del area geografica.
alegria	Muy buen profesor
alegria	Muy buen profesor, tiene mucha paciencia
alegria	Un 7.0 el profe
alegria	Muy buenos laboratorios, nada que decir.
alegria	muy buen profesor al momento de enseñar
alegria	buen profe
alegria	buena profesora, domina bien los contenidos
alegria	Muy buena profesora
alegria	Excelente docente, muy empática y responsable con sus alumnos. Maneja muy bien los contenidos
alegria	excelente docente, apoya a estudiantes, comprende sus situaciones y avanza según sus capacidades
alegria	Puntual, organizado y coherente con los contenidos
alegria	profesor responsable y dedicado
alegria	Me parecen muy entretenidas sus clases,ya que es un ambiente agradable.
alegria	agradable profesor, simpático con los estudiantes
alegria	excelente profesor
alegria	Excelente disponibilidad para atender a los estudiantes
alegria	sus clases son didácticas
alegria	buen docente
alegria	Muy buen Profesor el cual su metodología de enseñanza es muy buena.
alegria	buen profesor
alegria	exelente profesor,un gran motivador
alegria	muy buena profesora
alegria	buen profesor
alegria	es empatica con los alumnos
alegria	Buen profesor
alegria	Sabe explicar el contenido
alegria	gran capacidad de cautivar a sus alumnos con sus clases
alegria	Es una gran profesora
alegria	buen profesor
alegria	muy comprometida con el aprendizaje del estudiante
alegria	Docente con grandes expectativas, y una de las pocas que incentiva a sus alumnos
alegria	Muy buen profesor, domina muy bien los temas ademas de tener completa disposicion para tratar con los alumnos
alegria	Buen dominó y manejo de las clases
alegria	demuestra suu conocimiento y sus años de experiencia en clases
alegria	es un profesor que ama lo que enseña
alegria	Buena profesora, siempre dispuesta a ayudarnos en todo lo posible para que termináramos este ramo.
alegria	buen profesor, muy preocupado por los estudiantes
alegria	Muy buen profesor siempre apoyando y dando los tips para estudiar
alegria	Es una buena profesora, con muy buena disposición para que el alumno aprenda.
