etiqueta	texto
enojo	Revisar mas su gmail
enojo	Falta compromiso con sus estudiantes, no hay como ubicarlo fuera del horario de clases.
enojo	Mal dominio de la materia. No explica bien. Poca empatía con sus alumnos.
enojo	Que las clases sean mas dinamicas
enojo	hacer ellas lo ejercicios no su esposo por que no tiene dominio de ello solo los copia.
enojo	Estoy molesta por que en la cuesta de presenta la profesora corvalan siendo que en clases estaba el profesor Rodolfo que siempre evaluó nuestros trabajos, mi queja es por que evaluaba el profesorado Rodolfo si la clase lo hacia la profesora corvalan .
enojo	Hace demaciadas evaluaciones innesesarias, y sus certamenes son muy extensos
enojo	su método de evaluación es malisimo, no tiene nada que ver respecto a guías propuestas o ejercicio en clase, el nivel de exigencia y de contenido de las evaluaciones supera con crece lo visto en clase.
enojo	Muy didácticas las clases para entender mejor, pero debería entregar las notas en el plazo correspondiente
enojo	sugiero que los contenidos se relacionen con nuestra carrera.
enojo	Mal profe
enojo	Cumplir con los horarios de clases
enojo	informe mas a que se deben sus notas
enojo	Mejorar los plazos de entregas de notas
enojo	Mal docente.
enojo	organizar sus clases con anticipación y no en el momento
enojo	debe resolver los ejercicios siendo menos subjetivo
enojo	Que pase mas tiempo en las clases
enojo	Más ejercicios y problemas en clases
enojo	Profesor, intente controlar su sentido del humor o ironía cuando corrija proyectos, recuerde que hay personas mas sensibles que otras y se toman muy enserio su trabajo, sobre todo lo que usted les comenta sobre el. Muy buenas sus clases en el auditorio!
enojo	Entregar más confianza a sus alumnos.
enojo	NADA QUE DECIR
enojo	Algunas cosas en esta asignatura las encontré sin mucha importancia y no llamaron el interés mio ni el de algunos de mis compañeros, se sugiere hacer un cambio en este curso y que sea más enfocado a herramientas como excel entre otras que actualmente se n
enojo	El profesor puchi debería pasar TODA la materia antes del certamen
enojo	Nada que decir.
enojo	muy enrredado
enojo	Dar las notas cuando corresponde.
enojo	Como dije anteriormente, últimamente tuvo problemas con la puntualidad, pero en sí, es buena profesora.
enojo	El profesor debería explicar como realizar cada actividad al inicio de la clase y además tener en cuenta  que no todos podemos enviar los trabajos  a la hora ya que algunos no tienen Internet o computador y aveces el tiempo no alcanza en la U.
enojo	no entrega las evaluaciones a el tiempo acordado
enojo	Es una profesora muy desorganizada, no llega a la hora a las clases, no tiene una pauta de evaluación con el que nos podamos guiar del porque nos sacamos tal nota, no explica bien los trabajos que tenemos que realizas y se contradice con lo escrito en moo
enojo	por favor entregar las notas dentro de los plazos establecidos
enojo	Planificar un poco más las clases
enojo	Dedicarse a realizar su clases y no distraerse con compañeros que no tienen intereses en ella
enojo	cuando vaya a las clases debería concentrarse en la clase y no estar haciendo otras cosas en su teléfono o su computador
enojo	Entregar las notas dentro del plazo
enojo	Profesor que se nota que sabe mucho, aunque un poco estricto en cuanto a los contenidos.
enojo	profesora metodológica pero no enseña los contenidos claramente
enojo	mayor desarrollo de ejercicios propuestos
