etiqueta	texto
ninguno	Excelente academico
ninguno	falta que realice ejemplos o casos mas complejos ya que siempre realiza casos basicos. el ramo es demasiado idealizado y falta aterrizarlo a la realidad, aplicando normas (nch). la planificacion del curso debe integrar la realizacion de casos reales
ninguno	Excelente profesor, explica claramente. Mejorar la ortografía y pronunciación al dictar o comentar
ninguno	el profesor deberia ser mas dinamico, lamentablemente su forma de enseñar no logra captar la atencion de los estudiantes
ninguno	sin comentario
ninguno	no hay comentarios
ninguno	Excelente disponibilidad con sus alumnos, escucha y comprende las diversas situaciones que se le planteen.
ninguno	No refiere
ninguno	Encuentro interesante la forma de enseñanza del profesor
ninguno	Nada que decir
ninguno	muy interactiva
ninguno	Buen electivo
ninguno	no curse la asignatura con el profesor
ninguno	Buena profesora
ninguno	buena onda
ninguno	Realiza muy buenas clases aclarando dudas de sus estudiantes y también entregando lo máximo de sí para todos nosotros.
ninguno	Excelente Docente, comprometido con sus estudiantes y preocupado de las situaciones que suceden con ellos.
ninguno	Que las clases sean más dinámicas
ninguno	no tengo sugerencias
ninguno	muy buena profesora, dedicada y sirven de mucho sus simulaciones
ninguno	Calidad de docente, sus clases son un agrado de asistir porque se nota que le gusta lo que hace y enseña de la forma más clara hasta que todos los alumnos comprendan.
ninguno	Sin  comentarios
ninguno	Buen profesor
ninguno	Asignatura bien desarrollada
ninguno	Sin sugerencias
ninguno	que utilice lenguaje menos técnico en sus clases ya que cuesta comprender los contenidos.
ninguno	ayuda a entender lo que es en si la ICI
ninguno	buena e interactiva asignatura
ninguno	Se le pidió pauta de evaluación de un certamen y respondió con fotos de una hoja que decía ejercicio realizado en clases, siendo que no fue el mismo ejercicio, solo parecido
ninguno	muy buenas clases, pero no es muy abierto en el debate de temas tan subjetivos como la ética en las evaluaciones
ninguno	Nada que agregar
ninguno	buena clase
ninguno	es el encargado del programa y no es aplicable a nuestra carrera
ninguno	Creo que debería tener una retro alimentación de los casos que hacemos en clase
ninguno	Conoce lo que está enseñando.
ninguno	El profesor Sanchez es un muy buen academico. Sus clases son completas a pesar de que suele ser un poco disperso y nos cuesta un poco comprender algunas cosas en clases. A pesar de esto el profesor tiene buena disposicion a la hora de explicar nuevamente
ninguno	Entrega la información de forma muy clara y precisa, además de buena disposición para consultas fuera del horario de clases
ninguno	Sin comentarios
ninguno	Continue con su metodologia de evaluacion
ninguno	N sugerencia
ninguno	Es necesario considerar que esta encuesta no aplica mucho a Actividad de Titulación, ya que el trabajo con el profesor es individuaizado, no se hacen clase sino reuniones.
ninguno	Establecer un programa para cada opción de evaluación dentro del curso
ninguno	Buen manejo de contenidos, exelente disposicion para responder dudas en clases, no asi fuera del horario de ellas.
ninguno	buen profesor
ninguno	buena profe
ninguno	buen profesor
ninguno	Excelente profesor
ninguno	no aplica
ninguno	no estuve en su sección
ninguno	redunda en detalles, cuando lo importante son otros aspectos.
ninguno	Profesor con muy buen manejo de contenidos.
ninguno	Buena profesora
ninguno	Ninguna sugerencia
ninguno	tiene mucha  vocación
ninguno	Falta bibliografía para corroboración de datos, material complementario.
ninguno	me gustaban sus clases
ninguno	muy puntual
ninguno	comprensiva
ninguno	No es mi caso, pero algunos compañeros dicen que se sienten desdeñados o insultados de forma pasivo-agresiva durante su clase.
ninguno	Hacer mas presencia con los estudiantes, pero aun asi al momento de solicitarlo tiene muy buena disposicion.
ninguno	buena profe
ninguno	Muy buena disposición a ayudar
ninguno	excelente docente, tiene dominio de la materia y la trasmite con amor
ninguno	le falta ser objetiva.
ninguno	Centrar las clases más en explicar contenidos
ninguno	buena profesora
ninguno	el mejor profesor
ninguno	utilizar herramientas mas didácticas para sus clases
ninguno	Excelente profesor
ninguno	Se sugiere la visita al centro de practica y contacto regular con supervisora en terreno
ninguno	Mayor foco en la materia
ninguno	simpatico
ninguno	subir las guias con anticipación
ninguno	sin comentarios
ninguno	Excelente profesor con gran conocimiento en la materia.
ninguno	Mas horas de práctica.
ninguno	es buen profe hace artos ejemplos lo unico que demora mucho en entregar las notas de las evaluaciones
ninguno	Las clases centradas netamente en lo expositivo tienden a ser menos efectivas, agregar dinamismo y motivación a la participación activa de los estudiantes es algo que personalmente suele motivarme
ninguno	No fue mi profesor
ninguno	explicar con mayor claridad los ejercicios propuestos en clases
ninguno	no me hiso clases me tocaba con pamela chavarría la cual es muy buena profesora
ninguno	Dentro de todos los problemas que se causaron en el curso , pudo manejar la situación y dar cuenta de su profesionalidad
ninguno	No hay sugerencia
ninguno	exelente profesor
ninguno	No tengo clases con ella
ninguno	Muy buen profesor de practica
ninguno	excelente docente, gran manejo del tema
ninguno	Clase muy didáctica y interesante
ninguno	muy claro al explicar una materia difícil de entender
ninguno	todo bien
ninguno	Excelente disposición con sus estudiantes.
ninguno	a la altura
ninguno	no tuve clases con él.
ninguno	No tuve la supervisión   de este docente
ninguno	muy bien
ninguno	Buen profesor,el horario que tenia no acomodaba a nosotros
ninguno	Pasa materia y pocos ejercicios
ninguno	realizar actividades ligeramente más didácticas ayudaría a mantener la atención de la clase
ninguno	El profesor no genera un lazo con los estudiantes en el sentido de preguntar consultas en clases dado que si el considera que la pegunta es tonta responde de mala forma y a veces insultando a los alumnos.
ninguno	Cada vez que uno requiere resolver una duda y recurre a su oficina, no está o simplemente no quiere atender, siendo este su horario de atención a estudiantes .
ninguno	un poco estricto pero explica bien la materia
ninguno	Sin comentarios ni sugerencias
ninguno	Creo que falta un poco de organización en sus clases. A veces, se va por las ramas, olvidando la importancia de las ideas y contenidos principales de su asignatura. Además, no se sabe si está hablando o dictando y cambia de tema a cada rato en sus clases.
ninguno	No curse este ramo porque hubo una equivocacion al tomarlo
ninguno	buena metodologia
ninguno	buen profesor.
ninguno	muy buen profesor
ninguno	Me gustaria que en clases se realizaran mas temaricas psicologicas como test de personalidad y esas cosas.
ninguno	La generalización debe separarse siempre de la docencia, mas aún cuando se educa a los sujetos en formación del área.
ninguno	Exponer de forma más clara las instrucciones  de los trabajos a realizar
ninguno	Excelente docente, siempre con la disposición de enseñar hasta fuera del horario de clases, muy comprometido con que sus alumnos aprendan todo y más.
