etiqueta	texto
tristeza	Demuestra mucho dominio de la tematica pero algo monotono lo que produce un poco de desinteres a la larga
tristeza	crear un ambiente de trabajo mas agradable y menos autoritario, renovar material como guias ya que para aquellos que repiten el ramo no es una retroalimentacion, mas bien es un aprendizaje estructurado en el paso a paso de como resolver un ejercicio
tristeza	Es una persona muy arrogante, que podria mejorar mucho
tristeza	Clases aburridas y monótonas.
tristeza	quizas un poco mas de compromiso
tristeza	La profesora debería tener mejores ayudantes.
tristeza	Clases más dinámicas
tristeza	Buena profesora, pero deberia hacer sus clases un poco mas dinamicas
tristeza	sus métodos no motivan
tristeza	Es un buen, profesor, pero el gran problema de su laboratorio, es la corta duración, lo cual hace que sea inútil tenerlo, ya que en una hora y media, no se logra aprender lo suficiente.
tristeza	Podría ser más amable
tristeza	muy buen profesor pero no sabe explicar hace los ejercisios para el
tristeza	clase mas dinamica
tristeza	ramo botado
tristeza	Podría hacer sus clases más dinámicas, así mantendría en él toda la atención de los estudiantes
tristeza	Es un docente destacado por sus muchos conocimientos en su asignatura, pero le falta la parte didáctica en sus clases.
tristeza	falta diferentes estrategias para interesarse en el ramo y tener una enseñanza mas didactica
tristeza	Buen profesor, las pocas clases que tuvo fueron buenas, captaba la atención de los estudiantes. Si hubiera sido más comprometido con su labor, su evaluación sería mucho mejor.
tristeza	Profesora con buen carisma dentro del aula. Entrega contenidos de la asignatura de forma clara pero aún así en mi caso hubo dificultad de comprensión
tristeza	Opino que la clase debería ser más didáctica ya que en algunas ocaciones llega a ser aburrida
tristeza	Muy buen profesor, pero muy poco empático
tristeza	no posee oficina
tristeza	la profesora cumple con la gran mayoría de los criterios establecidos pero por otro lado podría ser un poco mas alegre y no tan seria para tener un mayor agrado al momento de ir a sus clases.
tristeza	Falta motivar más a los alumnos por aprender la asignatura.
tristeza	Debe ser mas asertiva
tristeza	Sin comentarios
tristeza	En proceso de docente
tristeza	sólo me hizo laboratorios y me gustaron casi todos excepto curaciones que creo que falto profundizar muchísimo
tristeza	Hacer clases mas didácticas y ludicas
tristeza	hacer las clases mas entretenidas
tristeza	totalmente en desacuerdo con que el profesor siga impartiendo algún ramo para nuestra carrera
tristeza	Lamentablemente no me pudo hacer clases este semestre por lisencia medica
tristeza	podria hacer que los estudiantes participen mas en el desarrollo de ejercicios
