etiqueta	texto
agresivo	sus clases son buenas pero deberia conciderar , los ejercicios mas dinamicos
agresivo	Poca dinámica de trabajo
agresivo	Mal profe
agresivo	Podría hacer sus clases más dinámicas, así mantendría en él toda la atención de los estudiantes
agresivo	hacer las clases mas entretenidas
agresivo	Mas flexible con los horarios de llegada por ciertos motivos de viajes
agresivo	siempre preocupada por la asistencia y el rendimiento
agresivo	No motiva a estudiar con su metodo
agresivo	Sin comentarios.
agresivo	Su forma de enseñar es bastante mala a decir verdad, debería mejorarla bastante.
agresivo	Explicar la materia con mayor claridad
agresivo	Buen profesor pero muy exigente a la hora de evaluaciones
agresivo	Realiza rutinas de ejercicios un poco exigentes o inadecuadas para el nivel de los estudiantes.
agresivo	Le faltó más responsabilidad con el ramo; no realizaba las clases con motivación
agresivo	hacer ellas lo ejercicios no su esposo por que no tiene dominio de ello solo los copia.
agresivo	Es demasiado parcial para las reglas que da en el laboratorio, pareciera ser que facilita las cosas para algunos compañeros, es muy evidente.
agresivo	Na
agresivo	Mejorar exposicion de clases
agresivo	El profesor debería explicar como realizar cada actividad al inicio de la clase y además tener en cuenta  que no todos podemos enviar los trabajos  a la hora ya que algunos no tienen Internet o computador y aveces el tiempo no alcanza en la U.
agresivo	Entregar las notas en el plazo correspondiente
agresivo	Mayor seguridad al responder dudas
agresivo	Como sugerencia de la asignatura, quizás pasar más rápidos los contenidos de principio de semestre y dedicar más tiempo en repasar lo último, ya que son fundamental para el desempeño futuro profesional y no se les dedicó el tiempo necesario.
agresivo	falta compromiso con el curso
agresivo	más comprensión para los estudiantes
agresivo	no me hizo clases
agresivo	más compromiso
agresivo	trabajos mas didacticos
agresivo	No lograba transmitir todos sus conocimientos, pero igual aprendí.
agresivo	Utilice una letra más legible y procedimiento más ordenado, al momento de realizar un ejemplo u ejercicio.
agresivo	Si no tiene tiempo para la clase mejor que no la imparta.
agresivo	mas plazo para proyecto
agresivo	Que hable algo más fuerte y modulador... A veces no se entiende bien porque además habla muy rápido
agresivo	Mal docente.
agresivo	Mejorar organización con los tiempos de reunión.
agresivo	Trate de no enredarse tanto al explicar, pero buen profesor y buena disposicion
agresivo	Que las clases sean mas dinamicas
agresivo	que sea mas accesible en los horarios de ayudantia
agresivo	pararse y leer los ppt en absolutamente todas las clases no considero que sea un buen manejo de sus temas a tratar en cada clase.
agresivo	El profesor puchi debería pasar TODA la materia antes del certamen
agresivo	Debe ser puntual
agresivo	Más amigable al momento de resolver dudas y dar a conocer su opinión después de las presentaciones, dejar que las exposiciones sean al azar y que de verdad sean según la participación en clases como se dijo a principio de año.
agresivo	profesora metodológica pero no enseña los contenidos claramente
agresivo	No tomé ramo con ella
agresivo	Más ejercicios y problemas en clases
agresivo	dificil de tratar
agresivo	con todo respeto no extravíe el material entregado por alumnos, me refiero a tareas porque  luego olvida la situación y eso perjudica al alumno.
agresivo	No demuestra un interés en lo enseñar ni en lo que hace en general
agresivo	Sin comentarios
agresivo	informe mas a que se deben sus notas
agresivo	Respetar la opinión de los demás.
agresivo	muy buen profesor pero no sabe explicar hace los ejercisios para el
agresivo	falta diferentes estrategias para interesarse en el ramo y tener una enseñanza mas didactica
agresivo	Es un buen, profesor, pero el gran problema de su laboratorio, es la corta duración, lo cual hace que sea inútil tenerlo, ya que en una hora y media, no se logra aprender lo suficiente.
agresivo	ser mas puntual en la entrega de notas
agresivo	Especificar más la materia
agresivo	La profesora da a conocer los contenidos de manera clara, la cual somos capaces de comprender, sin embargo se demora mucho en subir las notas de evaluaciones.
agresivo	Buena docente pero podría tener clases más didácticas.
agresivo	que se preocupe de ser un buen docente y sea menos arrogante
agresivo	Entregar las notas dentro del plazo
agresivo	Tratar de distribuir mejor los contenidos de las clases para no hacerlas tan densas
agresivo	Clases mas didácticas
