etiqueta	texto
noagresivo	Experto en su área muy buen dominio de contenidos
noagresivo	Excelente profesor
noagresivo	Excelente
noagresivo	el mejor meteorólogo del mundo
noagresivo	Buen profe
noagresivo	Evaluaciones rebuscadas y desmedidas comparado con el contenido visto en clases.
noagresivo	Profesor muy metódico
noagresivo	Muy buen profesor de practica
noagresivo	utilizar formas mas didácticas para realizar la clases, hablar mas alto
noagresivo	buen profe.
noagresivo	que no se enoje tan rapido
noagresivo	genera un buen ambiente para realizar las clases
noagresivo	no la conozco
noagresivo	Mejorar la puntualidad
noagresivo	Ninguna sugerencia
noagresivo	buen profesor
noagresivo	Un 70 como docente y como persona, muy responsable y preocupada. Siga así
noagresivo	a
noagresivo	Un 7.0 el profe
noagresivo	la forma de enseñar es buena, pero en la forma de evaluar debería mejorar.
noagresivo	Buena disposición en la atención con sus alumnos.
noagresivo	0
noagresivo	Lamentablemente no me pudo hacer clases este semestre por lisencia medica
noagresivo	Profesor que crea un ambiente de confianza y libertad entre alumnos.
noagresivo	Buen manejo de contenidos, clases claras y didácticas.
noagresivo	buen profesor
noagresivo	Se sugiere la visita al centro de practica y contacto regular con supervisora en terreno
noagresivo	excelente profesora, se demuestra interes de parte de la profesora para que los alumnos aprendan
noagresivo	el contenido de la asignatura deberia estar mas enfocado a lo que realizaremos en el campo laboral y en como enseñar lo aprendido
noagresivo	hola
noagresivo	Ninguno.
noagresivo	Profesora
noagresivo	Es una buena profesora, con muy buena disposición para que el alumno aprenda.
noagresivo	Buena profe
noagresivo	gran capacidad de cautivar a sus alumnos con sus clases
noagresivo	Me gusta como realiza sus clases
noagresivo	que de ha conocer el programa de la asignatura
noagresivo	La profesora Pamela es muy amistosa, entrega la confianza necesaria para expresar opiniones y sentimientos en las actividades que realizamos, es muy creativa y dinámica.
noagresivo	Profesor dinámico
noagresivo	buen profe
noagresivo	tengo buenas recomendaciones, sin embargo, por temas personales no rendí el ramo.
noagresivo	ninguna sugerencia
noagresivo	sin comentarios
noagresivo	no saque las cosas de la tablet  es aburrido
noagresivo	no tengo sugerencias, ni comentarios
noagresivo	entragar las notas a tiempo
noagresivo	buen profesor
noagresivo	buen profesor, debería explicar ejercicios el mismo nivel de dificultad que aparecen en el examen en clases
noagresivo	demuestra suu conocimiento y sus años de experiencia en clases
noagresivo	Excelentes clases, buen clima en el aula y disponibilidad del profesor ante consultas.
noagresivo	muy buen profesor
noagresivo	todo ok
noagresivo	entregar una mejor retroalimentaciòn de los contenidos entregados en clases.
noagresivo	Muy buena profesora
noagresivo	es muy bueno explicando en cada clases
noagresivo	entrega de notas en plazo indicado
noagresivo	Es una de las mejores docentes que tuve este semestre. Cumple en todo sentido como profesora
noagresivo	Es un excelente Profesional, muy humano y comprometido con la salud de los pacientes.  Sólo siento que le falta pedagogía (falta simplificar lo expuesto, y organizar mejor la forma en que entrega la información)
noagresivo	Buen profesor
noagresivo	good
noagresivo	excelente profesor con el cual se crea un ambiente muy grato en sus clases, incita a la participación de los alumnos en su clase.
noagresivo	exelente profesor
noagresivo	MUY BIEN HECHA LA CLASE
noagresivo	la profesora domina el tema pero su método de enseñar podría ser mas didáctico.
noagresivo	Buen profesor, motiva a los estudiantes y genera un ambiente de confianza. Sin embargo la entrega de calificaciones es tardía.
noagresivo	Hacer mas presencia con los estudiantes, pero aun asi al momento de solicitarlo tiene muy buena disposicion.
noagresivo	no asiste a clases
noagresivo	Encuentro que se equivoca en el desarrollo de los ejercicios
noagresivo	Explica bien a pesar de la complejidad de la asignatura
