etiqueta	texto
negativo	que sea mas accesible en los horarios de ayudantia
negativo	utilizar herramientas mas didácticas para sus clases
negativo	Poco empático con los alumnos
negativo	Ser más puntual con la entrega de calificaciones
negativo	ser mas didactico
negativo	Falta compromiso con sus estudiantes, no hay como ubicarlo fuera del horario de clases.
negativo	que utilice lenguaje menos técnico en sus clases ya que cuesta comprender los contenidos.
negativo	Tiende a enojarse cuando le preguntan algo o le corrigen
negativo	Cada vez que uno requiere resolver una duda y recurre a su oficina, no está o simplemente no quiere atender, siendo este su horario de atención a estudiantes .
negativo	Organizar mejor el tiempo
negativo	no saque las cosas de la tablet  es aburrido
negativo	Mal profe
negativo	Muy estricto a la hora de corregir los informes.
negativo	que explique mejor en clases, aveces no se le entiende nada de lo que él dice
negativo	más dinamismo y practica de lo que teoriza para tener una vision holistica completa de su ramo en cuestion
negativo	Nada que decir.
negativo	clases mas dinamicas, para mantener la concentracion de los alunmos, mas claro y mejorar las diapositivas
negativo	mayor dedicación a la hora de entregar notas y revisar certámenes.
negativo	No me parece un profesor preparado para dar clases no explica materias, es muy monótono, no ejerce interacción con estudiantes, solo lee textos. No se preocupa de que los alumnos estén aprendiendo o no, sólo se preocupa de cumplir su hora de clases.
negativo	Clases más dinámicas
negativo	Me gustaría un poco más de disposición y simpatía a la hora de hablar o atender al estudiante.
negativo	jamas tuve clases con la profesora Cristina, que mala organización de sus paginas web por parte de la UBB, que triste
negativo	la realización de sus certámenes contienen mucha información de memoria los cuales prefiero que sean mas de aplicación en casos clínicos.
negativo	debe resolver los ejercicios siendo menos subjetivo
negativo	Falta dominio de tema
negativo	Es una persona muy negativa, por lo que no genera interés en la asignatura a los estudiantes.
negativo	El profesor puchi debería pasar TODA la materia antes del certamen
negativo	Subir las notas a tiempo, no cuando finalice el semestre, hacer los certámenes de acuerdo a lo pasado en todas las clases anteriores y no basado en la última clase, donde enseña lo más difícil y el que entendio, entendió, el que no, jodio
negativo	Clases fomes
negativo	Muy llevado a sus ideas
negativo	No inicia las clases a la hora puntual y es exigente con la puntualidad de los alumnos, esto no genera interés por la clase a pesar de que es una asignatura con contenidos interesantes
negativo	Mejorar la manera en que expone los contenidos correspondientes a la asignatura ya que en muchas ocasionas las clases se hacían aburridas y monotonas.
negativo	Mayor seguridad al responder dudas
negativo	Podría utilizar recursos como guías
negativo	No permite revisar todas las evaluaciones. En los laboratorios de soldadura evaluó como si fuéramos soldadores profesionales lo en 80 minutos es muy difícil deconseguir
negativo	falta mas horas teoricas en algunas asignaturas , por lo que los alumnos al momento de la practica quedan al debe
negativo	hacer ellas lo ejercicios no su esposo por que no tiene dominio de ello solo los copia.
negativo	Clases aburridas y monótonas.
negativo	es muy enojon XD
negativo	falta que realice ejemplos o casos mas complejos ya que siempre realiza casos basicos. el ramo es demasiado idealizado y falta aterrizarlo a la realidad, aplicando normas (nch). la planificacion del curso debe integrar la realizacion de casos reales
negativo	criterio de evaluacion
negativo	mas dinamico
negativo	no presenta la mejor disposicion para resolver dudas y explicar nuevamente
negativo	Su forma de enseñar es bastante mala a decir verdad, debería mejorarla bastante.
negativo	Mucha demora en entregar notas, certámenes muy largos, contenidos de lectura no vistos en clases
negativo	Utilice una letra más legible y procedimiento más ordenado, al momento de realizar un ejemplo u ejercicio.
negativo	puntualidad
negativo	Más amigable al momento de resolver dudas y dar a conocer su opinión después de las presentaciones, dejar que las exposiciones sean al azar y que de verdad sean según la participación en clases como se dijo a principio de año.
negativo	Demuestra mucho dominio de la tematica pero algo monotono lo que produce un poco de desinteres a la larga
negativo	necsita mayor libertad para impartir contenidos
negativo	podria hacer sus clases mas entretenidas, utilizar mas evaluaciones distintas, ya sea trabajos, etc y no solo certamenes.
negativo	el profesor deberia ser mas dinamico, lamentablemente su forma de enseñar no logra captar la atencion de los estudiantes
negativo	Debe mejorar
negativo	informe mas a que se deben sus notas
negativo	debe mejorar las habilidades sociales
negativo	solo presentar las calificaciones a tiempo
negativo	cuando vaya a las clases debería concentrarse en la clase y no estar haciendo otras cosas en su teléfono o su computador
negativo	La profesora debería tener mejores ayudantes.
negativo	Que si tiene algún inconveniente con algún personal de la UBB que lo conversen afuera del aula
negativo	debe respetar las horas de clases
negativo	Profesor muy metódico
negativo	- Realizar ejercicios en clase más complejos, ya que algunos son demasiados simples.- Entregar la pauta de las tareas u otra actividad realizada.
negativo	esta asignatura presenta muchos problemas a nivel de contenidos y organizacion de parte de  profesora Elsa Martinez
negativo	Como sugerencia de la asignatura, quizás pasar más rápidos los contenidos de principio de semestre y dedicar más tiempo en repasar lo último, ya que son fundamental para el desempeño futuro profesional y no se les dedicó el tiempo necesario.
negativo	Dedicarse a realizar su clases y no distraerse con compañeros que no tienen intereses en ella
negativo	metodo de enseñanza no es muy efectivo
negativo	Si no tiene tiempo para la clase mejor que no la imparta.
negativo	Es una profesora muy desorganizada, no llega a la hora a las clases, no tiene una pauta de evaluación con el que nos podamos guiar del porque nos sacamos tal nota, no explica bien los trabajos que tenemos que realizas y se contradice con lo escrito en moo
negativo	no posee oficina
negativo	totalmente en desacuerdo con que el profesor siga impartiendo algún ramo para nuestra carrera
negativo	no entrega las evaluaciones a el tiempo acordado
negativo	Debe ser mas asertiva
negativo	Es un buen, profesor, pero el gran problema de su laboratorio, es la corta duración, lo cual hace que sea inútil tenerlo, ya que en una hora y media, no se logra aprender lo suficiente.
negativo	green energy is bullshit
negativo	redunda en detalles, cuando lo importante son otros aspectos.
negativo	Debería probar con otros métodos de enseñanza
negativo	disminuir la cantidad de informes durante el semestre
negativo	Realizar la clase de forma mas lenta
negativo	Mal docente.
negativo	Podría ser más amable
negativo	Debió escoger y supervisar mejor el contenido del curso, ya que algunos de estos no parecieran tener mucha relacion con la carrera Ingenieria civil.
negativo	Mas actividades en sus clases, no enfocarsr solo en un tipo de material para explicar la materia sino que recurrir a otras opciones.
negativo	pararse y leer los ppt en absolutamente todas las clases no considero que sea un buen manejo de sus temas a tratar en cada clase.
negativo	le falta actualización de contenidos y métodos de enseñanza
negativo	Mas flexible con los horarios de llegada por ciertos motivos de viajes
negativo	Que hable mas fuerte
negativo	mas participacion de los alumnos le falta incluirlos en las clases
negativo	Al momento de citar a revisión se demora en presentarse
negativo	Al termino de la practica entrega las calificaciones sin retroalimentar la información
negativo	Se necesita ser más empático y un poco más flexible con los estudiantes
negativo	El profesor debería explicar como realizar cada actividad al inicio de la clase y además tener en cuenta  que no todos podemos enviar los trabajos  a la hora ya que algunos no tienen Internet o computador y aveces el tiempo no alcanza en la U.
negativo	explicar con mayor claridad los ejercicios propuestos en clases
negativo	el profesor realiza la clase, pero no asegura el entendimiento de la materia al cien porciento
negativo	Debe ser puntual
negativo	Le falta saber enseñar
negativo	más compromiso
negativo	Le falta manejar más los contenidos y motivar a sus alumnos
negativo	Nada que agregar
negativo	Hace falta un poco más de responsabilidad en lala llegada a clases
negativo	crear un ambiente de trabajo mas agradable y menos autoritario, renovar material como guias ya que para aquellos que repiten el ramo no es una retroalimentacion, mas bien es un aprendizaje estructurado en el paso a paso de como resolver un ejercicio
negativo	Desarrolla la clase con dominio de los temas pero, a veces no es totalmente clara a la hora de explicar consultas realizadas por alumnos.
negativo	Mejorar organización con los tiempos de reunión.
negativo	Encuentro que se equivoca en el desarrollo de los ejercicios
negativo	Dar las notas cuando corresponde.
negativo	Regular
negativo	Pasa materia y pocos ejercicios
negativo	Que las clases sean más dinámicas
negativo	por favor entregar las notas dentro de los plazos establecidos
negativo	Presenta buen dominio de la asignatura pero tarda demasiado en publicar las calificaciones, impidiendo la retroalimentación adecuada
negativo	ser mas comprensible con los alumnos
negativo	Falta motivar más a los alumnos por aprender la asignatura.
negativo	evaluaciones correspondiente con el tiempo acordado, ya que son muy extensos y dudo que hasta el mismo profesor los termine.
negativo	no me gusto el ramo no lo entendi no aprendi nada
negativo	Hace demaciadas evaluaciones innesesarias, y sus certamenes son muy extensos
negativo	profesora metodológica pero no enseña los contenidos claramente
negativo	sus métodos no motivan
negativo	Poca dinámica de trabajo
negativo	:(
negativo	Más ejercicios y problemas en clases
negativo	manejo de los contenidos, pero poco claro al momentos de explicar ejercicios
negativo	los horarios podrían ser más tempranos
negativo	sugiero que los contenidos se relacionen con nuestra carrera.
negativo	NADA QUE DECIR
negativo	Explicar la materia con mayor claridad
negativo	que realice en pizarra mas ejercicios con los cuales se pueda ver como proceder en cada ejercicio.
negativo	Es un docente destacado por sus muchos conocimientos en su asignatura, pero le falta la parte didáctica en sus clases.
negativo	El profesor no genera un lazo con los estudiantes en el sentido de preguntar consultas en clases dado que si el considera que la pegunta es tonta responde de mala forma y a veces insultando a los alumnos.
negativo	profesor que no cumple con horarios establecidos por la institucion.
negativo	por  favor cumplir los horarios de llegada
negativo	Quizá debería participar de las actividades junto con los alumnos.
negativo	usa buen material, pero lamento decir que no mostraba mucho dominio sobre la materia
negativo	Cercania con los estudiantes
