etiqueta	texto
neutro	No refiere
neutro	Clases participativas y didácticas
neutro	Encuentro que explica bien la materia y tiene mucho dominio del tema, pero al momento de las tareas, test y certámenes hace ejercicios mucho más difíciles y enredados que en la clase.
neutro	Bibliografía complementaria
neutro	la profesora domina el tema pero su método de enseñar podría ser mas didáctico.
neutro	Profesora con buen carisma dentro del aula. Entrega contenidos de la asignatura de forma clara pero aún así en mi caso hubo dificultad de comprensión
neutro	no me hiso clases
neutro	asista
neutro	Buen profesor
neutro	ninguna
neutro	ninguno
neutro	profe
neutro	sin comentarios
neutro	no me hizo clases
neutro	bueno
neutro	ninguna sugerencia
neutro	No tengo sugerencias
neutro	Buena profesora
neutro	ninguna
neutro	No tengo clases con ella
neutro	que de ha conocer el programa de la asignatura
neutro	ninguna
neutro	Sin sugerencias
neutro	Asignatura inscrita por cupo.
neutro	es el encargado del programa y no es aplicable a nuestra carrera
neutro	Sin  comentarios
neutro	ninguno
neutro	ninguna
neutro	sin comentario
neutro	nn
neutro	Es una profesora que maneja su asignatura, sin embargo no supo cómo nivelarnos al nivel de su asignatura, ya que el ramo que le antecede (Termodinámica 1) fue muy básico para lo que debíamos saber.
neutro	good
neutro	Fue una clase nomás, nada que decir.
neutro	Realice esta asignatura en terreno.
neutro	bien
neutro	tiene mucho conocimiento, pero al enseñar se complica mucho.
neutro	dassdasad
neutro	m
neutro	Con 1 o 30 alumnos se debe realizar clases igual.
neutro	no era mi profe
neutro	falta mas seriedad y real demostracion de lo que se esta enseñando
neutro	Sin comentarios
neutro	Buena profesora, lo único fue que hubo una mala organización con su par que trabajaba con la otra sección para llevar a cabo las actividades iniciales de la asignatura.
neutro	ewe2
neutro	sin comentarios
neutro	Mas comunicación con los alumnos
neutro	Buen profesor,el horario que tenia no acomodaba a nosotros
neutro	Domina muy bien la asignatura, pero falta más motivación y además que sea puntual en las clases
neutro	no aplica. No tuve clases con este docente
neutro	dadssad
neutro	nad
neutro	Sin comentarios
neutro	S/C
neutro	bien
neutro	ninguno
neutro	No tuve la supervisión   de este docente
neutro	Explica contenidos claramente, pero falta apoyo más didáctico para la concentración de los alumnos
neutro	excelente profesora, pero deberia respetar los plazos para la entrega de notas de las evaluaciones
neutro	ninguna
neutro	no aplica
neutro	ninguna
neutro	le falta ser mas pedagógica
neutro	No era mi profesora
neutro	Considero que en ocaciones le hace falta mas empatia con los estudiantes. Tambien considero que es imparcial para evaluar y tratar a los alumnos.
neutro	Como dije anteriormente, últimamente tuvo problemas con la puntualidad, pero en sí, es buena profesora.
neutro	G
neutro	Ninguna
neutro	s
neutro	Ninguna
neutro	no tengo sugerencias
neutro	No me hizo clases
neutro	no conozco a la docente
neutro	holy
neutro	Sin sugerencias
neutro	No aplica
neutro	Tener horario de consultas
neutro	Nada que agregar, ya que fue una asignatura eventual por el censo
neutro	Sin comentarios
neutro	buen profesor
neutro	Sin comentarios
neutro	sin comentarios
neutro	ninguno
neutro	Good
neutro	un poco mas de material de apoyo
neutro	en realidad no es mi profesor de anteproyecto, por lo tanto no lo puedo evaluar
neutro	buen profesor
neutro	no lo conosco
neutro	nada que decir
neutro	mas estrategias didacticas
neutro	sin sugerencias
neutro	Preparar y realizar las clases
neutro	Me gustaria que en clases se realizaran mas temaricas psicologicas como test de personalidad y esas cosas.
neutro	Muy bien
neutro	Los jitts no sirven
neutro	Tener mejor relación entre profesor y alumno.
neutro	sin sugerencias
neutro	a
neutro	Gran dominio de asignatura, pero siempre tiene buenos tratos
neutro	Ninguno.
neutro	Ninguna
neutro	Buen electivo
neutro	ñmhk
neutro	no tengo clases con el.
neutro	ninguna
neutro	Quizá podría pasar la materia de forma más pausada, aunque se entiende que al ser modular debe llevar un ritmo más acelerado.
neutro	hola
neutro	muy expresiva
neutro	contenidos necesarios dentro de la carrera
neutro	nunca lo conocí
neutro	Mayor foco en la materia
neutro	ufff que semestre jajaja
neutro	Buen manejo de contenidos, exelente disposicion para responder dudas en clases, no asi fuera del horario de ellas.
neutro	Realizar más inglés gramatical para tener un mejor manejo de vocabulario
neutro	no estuve en su sección
neutro	Explica muy bien los contenidos, lo único que me hacia sentir incomoda era que las clases las terminaba el ayudante a veces.
neutro	ninguna sugerencia
neutro	Sería positivo tener un mayor orden en el desarrollo de ejemplos
neutro	favor Ser mas flexible con la asistencia a las catedras
neutro	sin comentarios
neutro	no hay sugerencias
neutro	Sin comentarios
neutro	las clases fueron muy pocas como para dar una opinión concreta sobre como enseña el docente
neutro	buen profesor
neutro	dsaf
neutro	No es mi profesor
neutro	sin sugerencias
neutro	ninguna sugerencia
neutro	Buen profesional
neutro	No tengo sugerencias ni comentarios
