etiqueta	texto
positivo	Buena profesora, responsable muy profesional
positivo	Se nota planificación de cada clase y mucha responsabilidad a la hora de entregar notas y trabajos. Un ejemplo de docente.
positivo	Buen profesor. Profesional y muy empático con los estudiantes.
positivo	excelente profesora, preocupada por el aprendizaje de todos los estudiantes y ademas propicia orientación adecuada  para el pronto desarrollo laboral.
positivo	Se explica muy bien en clases.
positivo	mas ejemplos
positivo	Encuentro interesante la forma de enseñanza del profesor
positivo	Buen profesor
positivo	Las clases son muy buenas y motivan al alumno a poner atencion
positivo	excelente en dominio de contenido y habilidades sociales y emocionales
positivo	Profesora atenta, preocupada, solo deberia mejorar en la puntualidad
positivo	Buen profesor, genera confianza en el grupo.
positivo	la manera de explicar y como desarrolla sus clases es adecuada
positivo	La clase estaba interesante
positivo	mas asistencia a clases
positivo	EXCELENTE PROFESORA, BUEN DOMINIO DEL CONTENIDO, CLASES DIDACTICAS QUE PERMITEN BUEN APRENDIZAJE
positivo	subir las guias con anticipación
positivo	buena profesora
positivo	excelente docente
positivo	bien
positivo	excelente profesora
positivo	Una casignatura muy completa
positivo	Muy ben profesor, siempre da oportunidades cuando se tiene algùn problema
positivo	buena e interactiva asignatura
positivo	buen profesor
positivo	gran ayuda para nuestra formación docente.
positivo	Muy clara y precisa al momento de enseñar
positivo	la metodología es sencilla y de gran ayuda para la comprensión de los contenidos
positivo	el mejor meteorólogo del mundo
positivo	Buena profesional
positivo	Realiza bien las clases
positivo	Buen profe
positivo	buen profesor
positivo	su versión de profesor malvado es divertida
positivo	es buen profe hace artos ejemplos lo unico que demora mucho en entregar las notas de las evaluaciones
positivo	No tengo criticas, es una profesora muy objetiva en su trabajo.
positivo	Excelente docente
positivo	buena profesora
positivo	clases muy didacticas
positivo	buena profesora, domina bien los contenidos
positivo	profesora muy exigente y buena
positivo	Buen profe
positivo	solo presione tab y abajo para responder rapidamente y escribir ramos
positivo	En este taller de confidencialidad el profesor Félix  enseña muy bien y explica el objetivo al principio y final de cada clase, para que así los alumnos empiecen a practicar la confidencialidad que hay que tener en la carrera de psicología.
positivo	Enseña bien
positivo	Exclente docente. Preocupada de motivarnos como estudiantes y promueve a una mentalidad critica y objetiva.
positivo	Muy clara al momento de exponer la clase, dispuesta a responder todas las dudas.
positivo	Me gusta su manera de aprendizaje
positivo	Entregar guía de ejercicios
positivo	Me gusta que realizara diferentes formas de evaluaciones
positivo	entretenidos los laboratorios
positivo	buena profesora
positivo	Realiza muy buenas clases aclarando dudas de sus estudiantes y también entregando lo máximo de sí para todos nosotros.
positivo	buen profesor
positivo	Excelente disponibilidad para atender a los estudiantes
positivo	entrega de notas en plazo indicado
positivo	buenas clases
positivo	Buena metodología y disposición
positivo	buen profesor pero deberian aumentar las horas
positivo	Muy buen curso.
positivo	Excelente Docente, comprometido con sus estudiantes y preocupado de las situaciones que suceden con ellos.
positivo	excelente profesora
positivo	buena profesora
positivo	bastante didácticas las clases, se nota que maneja muy bien los temas a tratar.
positivo	Buen profesional
positivo	clases muy didácticas y entretenidas de ver
positivo	Muy buen profesor
positivo	Buen profesor
positivo	Excelente docente
positivo	Buen profe
positivo	Buenas clases, ningñun problema
positivo	Buena docente
positivo	buen profesor
positivo	Excelente profesora
positivo	Comenzar las clases en la hora indicada
positivo	buena docente, establece buena comunicacion con los alumnos
positivo	se agradece su simpatia
positivo	muy buena dispocion para orientar alumnos y solucionar problematicas de los laboratorios
positivo	un excelente profesor, maneja a la perfección los contenidos del ramo que imparte.
positivo	Buena profesora
positivo	sugiero realizar mas ejercicios prácticos y  crear una identidad como profesor
positivo	Enseña de buena manera
positivo	muy buen profesor, sabe como enseñar.
positivo	good
positivo	buen profesor y muy exigente
positivo	buen ambiente dentro de la clase, es agradable asistir a ellas.
positivo	la profesora estaba abierta a escuchar y aclarar todas las dudas que surgían en clases
positivo	Muy buen académico.
positivo	es buena profesora adapta a la enfermería a la actualidad
positivo	excelente docente, excelente asignatura
positivo	Excelente disposición con sus estudiantes.
positivo	Buena profe
positivo	clases muy entretenidas y completas
positivo	Excelente
positivo	buen profesor
positivo	muy bien
positivo	exelente profesor
positivo	Buen profesor
positivo	Muy buen profesor
positivo	sus clases didácticas fueron las que me apoyaron para poder aprender aun mas.
positivo	Todo bien
positivo	Muy buen profesor
positivo	En general sus clases son interesantes y buenas
positivo	Buena profesora y da la confianza para consultar las dudas.
positivo	excelente profesora
positivo	Buen profesor
positivo	muy entretenida la clase
positivo	muy claro al explicar una materia difícil de entender
positivo	Que la profesora se enfoque más en ejercicios prácticos que más nos acerquen a la vida real.
positivo	Buen profesional.
positivo	su ramo es muy util y explica de buena manera, tiene buena disposición
positivo	maneja muy bien los contenidos de la asignatura, responde claramente las dudas
positivo	Excelente profesor, siempre atiende con buena disposicion, sus clases son didacticas por lo tanto capta mi atencion
positivo	Buena profesora
positivo	Gracias por lo enseñado profesora
positivo	mejorar tono de voz
positivo	buen profesor
positivo	excelente profesora
positivo	Comprometido con su asignatura y muy riguroso con disciplina y puntualidad.
positivo	excelente profesor
positivo	Profesor altamente recomendable.
positivo	Bastante conocimientos de los contenidos, expone de excelente manera, podría responder consultas de los alumnos con mejor disposición .
positivo	siempre me gusto asistir a sus clases, por el motivo de que el porfesor sabia llevar bien sus clases y con esto hacia que el estudiantado pudiera estudiar con mas ganas su materia.
positivo	Perfecto
positivo	enseñanza adecuada y fácil de comprender, faltan mas horas para desarrollar bien los prácticos
positivo	Muy buen profesor
positivo	es el mejor profesor de la Castilla
positivo	buena
positivo	Buen profesor
positivo	el mejor profesor
positivo	Utiliza diversos mecanismos para explicar
positivo	entrega un buen material de apoyo
positivo	buen profesor
positivo	Evaluaciones con notas referenciales
positivo	Muy buen profesional
positivo	Muy buen profesor
positivo	Siga asi
positivo	es un gran profesor, que inspira al estudio de la asignatura
positivo	MUY BIEN HECHA LA CLASE
positivo	las clases son entretenidas
positivo	La docente tiene buena disponibilidad para resolver dudas
positivo	Buena profesora
positivo	¡Siga así!
positivo	Profesor con muy buena disposición para enseñar y responder consultas
positivo	Buen Jefe de carrera
positivo	Buen profesor, el cual demuestra con confianza lo que sabe
positivo	Excelente docente, buen guia.
positivo	Profesor responsable
positivo	Un poco desordenado, pero excelente profesional.
positivo	Buen profesor
positivo	Nada que decir
positivo	Excelente profesional, relaciona e integra los conceptos enfocados en la tematica de nuestra carrera
positivo	Buen profesor
positivo	Buena profesora
positivo	clases muy buenas y gratas. Felicitaciones.
positivo	Realiza bien sus clases
positivo	muy buen profesor
positivo	excelente docente, maneja profunda y extensamente los contenidos de las clases.
positivo	el profesor realiza clases donde hace participar a los alumnos lo cual es muy bueno y ejercita a los alumnos para las evaluaciones lo cual nos ayuda bastante
positivo	maneja muy bien el idioma y sabe enseñar a los alumnos
positivo	buen profesor
positivo	excelente profesor, pero se demora mucho en subir las notas.
positivo	Entiende las dificultades de sus alumnos
positivo	Muy grata experiencia haber realizado una feria de la salud (aún tengo muy claro lo que me correspondió exponer ese día)
