etiqueta	texto
serio	buen profe
serio	Muy grata experiencia haber realizado una feria de la salud (aún tengo muy claro lo que me correspondió exponer ese día)
serio	Me gustaron sus clases
serio	Realiza un buen trabajo con los estudiantes.
serio	Muy buena metodología de aprendizaje
serio	Explica muy bien los contenidos, lo único que me hacia sentir incomoda era que las clases las terminaba el ayudante a veces.
serio	Exelente profesora
serio	debe mejorar las habilidades sociales
serio	Que de mas plazo para la ejecución de los trabajos
serio	buen profesor
serio	Excelente profesora
serio	Excelente profesor
serio	Muy buen docente, buena confianza con alumnos
serio	Buena profesora y colaboradora para el aprendizaje para cada alumno.
serio	eL PROFESOR ES MUY DEDICADO Y SE NOTA QUE  MaNEJA LO QUE ENSEÑA.
serio	Ojala siga manteniendo su buen trato y cercanía hacia los alumnos, ya que crea un ambiente muy amigable y da gusto asistir a sus clases, además de que desarrolla temas que son de gran interés de los estudiantes de diseño. Que sea Jefe de carrera otra vez!
serio	muy buen profesor, posee muchos contactos los cuales al estudiante les permite tomar buenas practicas.
serio	buen profesor
serio	Explica bien a pesar de la complejidad de la asignatura
serio	No inicia las clases a la hora puntual y es exigente con la puntualidad de los alumnos, esto no genera interés por la clase a pesar de que es una asignatura con contenidos interesantes
serio	excelente profesora trata todos los puntos a evaluar paso a paso
serio	No tengo sugerencias
serio	Ninguno.
serio	hacer las clases mas rapidas
serio	no me hizo clases
serio	Buena profesora, responsable muy profesional
serio	El profesor es muy bueno, conoce muy bien la materia que expone y crea un muy buen ambiente de aprendizaje.
serio	El profesor no genera un lazo con los estudiantes en el sentido de preguntar consultas en clases dado que si el considera que la pegunta es tonta responde de mala forma y a veces insultando a los alumnos.
serio	Creo que el ejercicio de redibujar los planos de un edificio patrimonial no eran tan pertinentes al ramo. Mas bien nos sentimos utilizados por el fin de la publicación del libro.
serio	sólo me hizo laboratorios y me gustaron casi todos excepto curaciones que creo que falto profundizar muchísimo
serio	Organizar mejor el tiempo
serio	exelente profesor sigua asi
serio	Es una clase muy practica en la que se logra comprender muy bien los contenidos
serio	Muy buen académico.
serio	No hay sugerencias
