etiqueta	texto
tristeza	Al menos dos policías muertos y cinco heridos en emboscada guerrillera en Perú (policía)
tristeza	México: se mantienen las protestas y críticas a Peña Nieto por el caso de los 43 estudiantes normalistas desaparecidos
tristeza	Adolescente muere atropellado mientras rayaba bus con spray en Quinta Normal
tristeza	Fin de semana largo termina con 20 personas fallecidas en accidentes de tránsito en el país
tristeza	Asesinato de joven chilena en Argentina: sospechoso es investigado como atacante serial
tristeza	Carles Puyol, el gran líder le dice adiós al Barcelona y camina hacia el retiro
tristeza	Actualización Permanente: Colegio de Profesores inicia marcha en el marco del paro nacional
tristeza	Explosiones de coches bomba en Bagdad dejan al menos 18 muertos y 59 heridos
tristeza	Terremoto en Nepal: Autoridades aumentan cifra de muertos a más de 6.000
tristeza	Incendio destruye siete casas y deja 25 damnificados en La Pintan
tristeza	En España insisten en que Carles Puyol anunciará mañana su retiro como jugador
tristeza	Robin Williams padecía la enfermedad de Parkinson
tristeza	Anciano muere tras ser atropellado y arrastrado por 120 metros en San Joaquín
tristeza	Gaza: el inframundo de la globalidad
tristeza	Fuentes oficiales elevan la cifra de fallecidos por el sismo en China a 367 personas
tristeza	Los prorrusos derribaron un helicóptero ucraniano y 14 militares murieron
tristeza	El suizo Ricardo Rodríguez y su postulación a la Roja: “Me quedé con la ilusión”
tristeza	Irak concentra tropas cerca de ciudad asediada por yihadistas
tristeza	Muere la escritora Ana María Matute, una de las más grandes novelistas de España
tristeza	"Dos palestinos muertos por disparos israelíes durante conmemoración de la ""Nakba"""
tristeza	Aumentan a 381 los fallecidos por terremoto en el sur de China
tristeza	Nadal sufre una inesperada derrota y no entra en las semifinales de Beijing
tristeza	Advierten que lluvia ácida podría afectar a la zona tras nueva erupción del Calbuco
tristeza	Al menos doce muertos en ataques al sur de Bagdad (responsables)
tristeza	Diez palestinos muertos en ataques israelíes contra Gaza
tristeza	Explosión en capital de Nigeria causó 21 muertos y 17 heridos
tristeza	Nuevos enfrentamientos en Gaza provocan muerte de seis civiles y un miliciano palestino
tristeza	"Asociación de Futbolistas inglesa dice que Suárez debe tratarse ""problemas de salud mental"""
tristeza	Muere Jacinto Convit, el médico venezolano que inventó una vacuna contra la lepra
tristeza	Israel refuerza con reservistas la frontera con Gaza entre temores de violencia generalizada
tristeza	Un muerto y dos detenidos en frustrado asalto a camión de valores en Chile
tristeza	Madres centroamericanas están en callejón sin salida en EEUU, según abogados
tristeza	Mueren cinco personas en repunte de violencia en estado mexicano de Michoacán
tristeza	Cinco muertos en protestas de Hermanos Musulmanes en aniversario masacre en El Cairo
tristeza	Cerati: Hoy se cumplen cuatro años del accidente vascular que lo mantiene en coma
tristeza	"Murió ""el feo"""
tristeza	Tragedia en Turquía: Gobierno confirma 282 muertos y posibilidad de rescate es casi nula
tristeza	Un niño de dos años murió atropellado por un camión de gas en Peñalolén
tristeza	"Fallece participante australiano de ""American Idol"""
tristeza	Incendio destruye siete casas y deja 25 damnificados en La Pintana
tristeza	Mueren seis monos en zoológico de Oregon
tristeza	Mueren cuatro talibanes en un ataque con avión no tripulado en Afganistán
tristeza	"Eli Wallach, el ""feo"" más popular del cine, fallece a los 98 años"
tristeza	Joven de 17 años acusado de disparar contra compañeros de escuela en Atlanta
tristeza	Chile sucumbe ante el mecanismo naranja
tristeza	Familias identifican cuerpos de estudiantes en Kenia
tristeza	Asesinato a bordo
