etiqueta	texto
1	Ya no sé que hacer No sé con cual quedarme Todas saben en la cama maltratarme Me tienen bien, de sexo me tienen bien  Estoy enamorado de 4 babys, siempre me dan lo que quiero Chingan cuando yo les digo, ninguna me pone pero Dos son casadas, hay una soltera La otra medio psycho y si no la llamo se desespera  La primera se desespera Se encojona si se lo hecho afuera La segunda tiene la funda Y me paga pa' que se lo hunda La tercera me quita el estrés Polvo corridos siempre echamos tres A la cuenta de una le bajo la luna Pero ella quiere con Maluma y conmigo a la vez Estoy enamorado de las cuatro Siempre las busco después de las cuatro A las cuatro les encanta en cuatro Y yo nunca fallo como el 24 De los Lakers siempre es la gorra De chingar ninguna se enzorra Estoy metio' en un lío, y hasta confundio' Porque ninguna de mi mente se borra  Me pongo las gafas Cartier, saliendo del aeropuerto Vestio' de Osiris, zapatos en piel Tú tienes todas mis cuentas de banco y el numero de la MasterCard Tú eres mi mujer oficial,me tiene enamorado ese culote con ese pelo rubio Pero tengo otra pelinegra que siempre quiere chichar A veces hasta le llega al estudio La pelirroja chichando es la más que se moja La encojona que me llame y no lo coja Peleamos y me bota la ropa y tengo que llamar a cotorra pa' que la recoja Tengo una chiquitita nalgona con el pelo corto Me dice papi vente adentro si me preña Bryant Myers!  Y estoy metio en un lio A todas yo quiero darle Me tienen bien confundio' Ya no sé ni con cual quedarme Y es que todas maman bien Todas me los hacen bien Todas quieren chingarme encima de billetes de cien Me tienen en un patín Comprando en San Valentin Ya me salieron más caras que un reloj de Ulysse Nardin Es que la babys están dura y ninguna de la' cuatro se ha hecho completas Dos tienen maridos y ninguna de las dos al marido respetan  Cuatro chimbitas Cuatro personalidades Dos me hablan bonito Dos dicen maldades Diferentes nacionalidades Pero cuando chingan gritan todas por iguales Quiere que la lleve pa' Medallo Quiere que la monte en carro del año Que a una la coja, a la otra la apriete Y a las otras dos les de juntas en el baño Digan que más quieren hacer El Dirty las va a entretener En la casa gigante hay un party en el yate que él quiere tener No sé si me entiendes bebé 
1	Anda, ve corriendo a donde ese infeliz para luego volver a mí Para que consuele tu llanto No es la primera vez que lo haces, decídete Si te quedas con él, a mí no me mires más (baby) Si quieres otra vez, entonces ve donde él está  Besos mojados, labios invisibles Gemidos inaudibles, que te atormentan sin voluntad Besos mojados, labios invisibles Gemidos inaudibles, que me atormentan sin voluntad  Ella no se decide, pero como me jode y me exige A veces me llama por Facebook pa' que yo la cobije Ella es bipo-lar, parece que siempre dice Que no quiere nada serio, pero se contradice Y me busca, sólo para sexo me usa Tenemos una relación bastante confusa Qué cosa, si la diabla me engatusa Si le hablo de amores siempre me pone mil excusas  Y aún sigo esperando, el tiempo pasando Yo sé que con él tus noches son fría' Por eso vuelves a mí to' los día'  Gemidos que me gustan tanto Que yo deseo que to' el día pase Que toquemo' base Sé que tú desea Ponte pa' mí pa' que vea' Lo que hace un hombre cuando a una mujer desea Besos mojado', eso me pasa sólo a tu lado Si tú te me va', ¿cómo le hago? Que tú ere' mía, yo lo sé Y si alguna vez tú lo duda'  Entrégame tu desnudez pa' que tú sienta' Como tu cuerpo mojado hace lo que mi mente desea Me siento bien a tu lado Ven, pégate para que veas Como tu cuerpo mojado hace lo que mi mente desea Tú me desea' (uoh-oh, oh-oh)  (Besos mojados) RKM y Ken-Y (Labios invisibles, gemidos inaudibles) Pina Records Mikey Tone (Que me atormentan sin voluntad) Wallie (Wallie, Wallie, Wallie, Wallie) 
1	Inmensas tempestades, tu mano y la mía Tienes algo, no sé qué es Hay tanto de melódico en tu fantasía Y un toque de misterio, mi límite  Conservo algún recuerdo que no debería Lo sé, ¿qué puedo hacer? A todos nos ocurre la monotonía Nos gana la batalla alguna vez Alguna vez, alguna vez, alguna vez.  Por eso, vida mía, por el día a día Por enseñarme a ver el cielo más azul  Por ser mi compañera y darme tu energía No cabe en una vida mi gratitud  Por aguantar mis malos ratos y manías Por conservar secretos en ningún baul Quiero ser por una vez, capaz de ganar y de perder  Perdona si me ves perder la compostura En serio te agradezco que hayas sido mía Si ves que mi canción acaso no resulta Avísame y recojo la melancolía, melancolía  Te dejaré una ilusión Envuelta en una promesa de eterna pasión  Una esperanza pintada en un mar de cartón Un mundo nuevo que sigue donde un día lo pusiste Tú eres esa mujer  Por quien me siento ese hombre capaz de querer Viviendo cada segundo la primera vez Sabiendo que me quisiste y todo aquello que me diste  Conserva mi recuerdo de piratería Derrama los secretos, abre aquel baúl Sigamos siendo complices en compañía De aquello que me diste bajo el cielo azul Por aguantar mis malos ratos y manías Por conservar secretos que me guardas tú Quiero ser por una vez, capaz de ganar y de perder  Perdón si alguna vez guardé la compostura No sabes lo que ha sido que hayas sido mía Comprendo que agotaste toda tu dulzura Pero no me pidas, niña, la melancolía, melancolía 
1	Culonas me llegaron 100 libras de Arizona Nalgonas yo soy un rey mi Glock mi corona Soldados son leales ellos nunca me abandonan Y se mueren los cabrones que mi nombre mencionan Le llenamo e' boquete la Tacoma Y si no se muere ese cabrón va a quedarse en coma Bebé mamando tú tienes un diploma Y los vendí en 35 como Durant en Oklahoma Enpercoseao' la mente se me empichona Y les pongo en la cara la cuarentona Se ríe burlona, ella es blanquita como Madonna Y los kilos los movemos por el Canal de La Mona (Real Hasta La Muerte)  Todo el mundo sabe quienes somos Tengo una puta en todos lados que vamos Pilas de botellas y mucho plomo Armao' siempre andamos  27, me fugo o me pico el grillete  Intocable con mi 47 Me compré una 34 y le puse un chipete Todas mis pistolas y mis rifles son fuletes Tengo 4 putas en New York y 100 putas en Puerto Rico Yo vo'a hacer 3.5 vendiendo perico Bebecita te vo'a hacer completa El abdomen las nalgas y las tetas Rebota esas nalgas por un Rhino me compré un palestino Desde Torre hasta Virgilio filas de asesinos Te esperamos fuera de los pinos Y te matamos como en Scarface matan a Al Pachino  Y si quieren guerra pues vamos a matarnos Baby yo nunca tuve miedo a morir Tenemos 3 rifles 'tamos esperando Que salgan de la disco y se van a morir (Real Hasta La Muerte oiste cabrón?)  
1	Pero no me dices nada, mami que te pasa Porque tan perdida, no volviste a casa Que es lo que evades a toda hora Va pasando el tiempo y tú te quedas sola Si tú no estás de que me sirve nena Un día estas después te vas Para que seguir detrás de algo así, que no vale la pena Quien va a calmar las ganas de tu cuerpo  Pienso en ti como tú piensas en el Me dijiste que tú eres mía y vas a volver Talvez no hoy, quizás mañana Ojitos chiquiticos parece coreana Pa' chingar tu no me tienes que amar Si me matan mañana no me empiece a llorar Bebe nunca me olvides, yo no te wa' olvidar Todo fuego un día se tiene que apagar Pero si un día me ves con otra baby normal Cuando tú quieres yo te vuelvo a devorar Tú eres una diabla que me hace pecar Y en tu infierno yo me wa' volver a quemar  El día en que me monte yo en el cohete El billete, lo tiran con las prendas adentro del boquete No me canten coro, el ataúd en oro Que me hunden en el medio del mar como un tesoro Sin mapa, este flow ya nadie lo atrapa Lo más cabron es que por ti he dejado mil gatas Me he meti'o en líos, entro pal caserío A verte tu sabiendo que yo no estoy frio Yo sé que tú me piensas, pero nunca te ubico Te explico, tengo un reloj de ciento y pico Una casa en Puerto Rico, tu sabe lo que valgo Después no me llores cuando me pase algo La rampa, tiene un tatuaje de un ancla Gucci la cartera, Gucci son las chanclas Ya está mal acostumbra, pero si Coscu se va Lamentablemente vas a verte con tu realidad El Princi  Viviendo en este infierno diablita pensando en ti Baby esa sonrisa me tiene creyendo en el ayer Yo que pensaba que te tenía no sé cómo yo te llegué a perder Me tienes hablando con Dios preguntándole cuando te vuelvo a ver Pero no me dice nada Tal vez no me quieras en vida Si es así si muero no me llores El tiempo no da pa' tras Pa' comernos no me tienes que amar  N-I-cock Me mantengo pensando en mi cama toa' la noche Contigo los días fueron mejores Por culpa de las mujeres y sus rumores Ya no tengo a mi lado, hay mil dolores Me acuerdo cuando por mi mami nadie daba un peso Y ahora somos los duros pregúntale a DJ Nelson Así que mami olvídate de eso Donde te coja te devorare No importa quién te tenga yo te robare Solo dime donde quieras y yo te buscare No importa mami por ti yo me arriesgare  (Real hasta la muerte hasta que me maten bebe) No me dejes por muerto Que yo tengo un jet en el aeropuerto Y un pote de lean que me tiene dormido y despierto Bebe tu eres mi base en el desierto Yo siempre te digo la verdad hasta cuando te miento Tu aliento y tus, Te amo, se fueron con el viento Y yo soy tu hijueputa, to' el mundo me vio en noticentro A mí me cogieron con una glopeta Y yo solo pensaba en tu cara y en tu silueta Si yo te pierdo me mato Baby tú te pareces a Jackie Guerrido en Primer Impacto Intocable, el bicho mío ya es inolvidable Y tu totito ya es impenetrable Real hasta la muerte 
1	Dímelo Gotay  Contigo yo me descontrolo Ma no soy el mismo cuando estamos solos Me hiciste brujerias, tú conoces el protocolo Cuando las demás me tiran a todas las ignoro Porque yo estoy puesto pa' ti  Ya no me gusta ninguna No quiero a ni una Te quiero comer como te comí la última vez Y tengo alguito enrolao' pa' que tú también le des, babe  Vamos a hacer un party en casa, tú y yo Te quiero dar hasta en la terraza Quiero un sateo pero que sea de raza Que te lleve a la luna sin ir a la NASA, baby  Vamos a hacer un party en casa, tú y yo Te quiero dar hasta en la terraza Tú me encantas desde que te vi Tú sabes que to' eso es mío desde que te di, baby  Bebé, ni modo Tengo algo enrolao' pa que prendas, no te incomodo Quieres monchar Por ley llegamos a Komodo Si quieres ir a Milán, traje un melón Pa' que con nosotros hagas coro Que tiren lo que quieran, no me ajoro LeBron esta cabrón, pero de Jordan tú estás cloro Y mala mía, bebé todo eso lo valoro Es que eso es como mal En dos meses yo me enamoro Que tiren lo que quieran, no me ajoro LeBron esta cabrón, pero de Jordan tú estás cloro Mala mía, bebé todo eso lo valoro Es que eso es como mal En dos meses yo me enamoro, baby  Yo soy tu propietario A mí me gusta cuando sales en cortos por el barrio Y todos siempre me la miran Pero saben que se cae el que pase la línea Siempre tiran, yo sé que le gusta el flow Eso ya le llegué No va a llegar a su casa temprano, avísale Me la paso pensando en cómo sin ropa tú te ves Aquí sigo imaginándote, bebé Porque tú arriba Te ves atractiva Tenemos toda la noche si te motivas Sabes que conmigo siempre la pasas bien Yo sé que hace tiempo tú quieres también 
1	Contigo fui más que mi cocaine (Oh-oh) Me sentí en Nirvana como Cobain (Oh-oh-oh) Me viste brillando, eso te dolió, wait (Oh-oh-ah) Tu tiempo pasó, uoh (Ah) Tú eras mi droga, bitch, una xanny Jugaste con el cora' como Atari Estoy flexeando sobre ti, yah Jamá' estaré triste con este beat, yah  Mi Cister es mi favorito (¿Qué?) Ni siquiera soy bonito (Huh) En verdad será por el mito (What?) Lo comiste como Cheeto (Ñah) Me vió brillando, dijo: Wow, se hipnotizó con este flow El canti' no cobra por el show Que mierda, lo apodaré Pou (Shit) El problema es que tú creé' que sabe' mucho No valorabas, ahora no te escucho Por fuera nunca ves el sacrificio (No-no) Por dejarte, lanzaste el maleficio (Mala)  Me deslizo como Jetski (Ouh), no quiero saber na' de ti (Wow) Mamá, estoy flex (Ah), voy subiendo como jet (Jah)  Si no hablo se molesta (What?) Si me demoro lo detesta (Shit) Siempre me lleva la opuesta (¿Por qué?) Siento que no fuiste honesta Por ti yo lo di, de ti nada vi Voy buscando algo má', no preguntes por mi Wait, hashtag, todos los hombres son iguales (Jah) 666 (Wait, jah), reina de male' (Huh) Dos vece' quizás probable Es mejor que no me hable' En buenas estabas y malas faltabas, fallaste, ya no es conversable (Huh) Tú te comportas como niña 'e kinder (Siempre) Que pena ver que tiene cuenta Tinder (Fuck that) Hiciste que todo esto concluya, gracias, bitch, aleluya 
1	Yo soy esa mujer La que cuelga de la soga Soy la mujer, como tequila y la droga Yo soy esa mujer Yo soy tu sobredosis Soy la mujer De la que nada conoces  Yo soy la que te amó, la que te perdonó Antes de conocerte no sabía de dolor  ¡Ay! Qué pena me da saberte Ahora estás solo y probablemente Deba dudar y así acabarás ¡Ay! Ayer por fin dejé de suicidarme Ahora tus manos son las que derraman sangre Me enamoré de un pobre cobarde  Tú eres el hombre Que lo controla todo Según tú, todo se hace a tu modo Tú eres el hombre El que arma y desarma No puedes ni contigo Ni con tu ego, ni con nada  
1	Qué te falta, mujer, qué te falta Qué te falta si estoy a tu lado Soy feliz, yo no soy desgraciado Tengo padres que llora por mí  Antenoche soñé que te amaba Como se ama una vez en la vida Desperté y todo era mentira Ni siquiera me acuerdo de ti  Eres flor que entre peñas naciste Y naciste para padecer Yo primero conocí a mis padres Y después a una ingrata mujer  Si te quise no fue que te quise Si te amé fue por pasar el rato Ahí te mando tu mugre retrato Para nunca acordarme de ti 
1	Me compré un FN en 2, 000 y me fui a la fuga y la boté Gané y después llamé al armery y una 22 me compré Le compré las dos tetas a 50 y el chipete se lo espeté Y en la disco tenemos las cortas encima cabrón qué lo qué?  Co-coronamos we on bajaron los kilos los multipliqué No me tires yo no quiero coros más money way up tú lo ves Sofocando en la calle dando un truck de para somos los jefes Una onza de sour enrola otra banda que no pueda ver  Tengo el brazo de un diablo le di un fuletazo y la esparraché Me bañé y después yo me fui pa' la disco y 50 botellas ordené 'Tamos a otro nivel le damos problemas no van a poder Si no somos nosotros ustedes ninguno van a resolver  Llegamos y no avisamos, problemas problemas a quien sea le damos 2 onzas de link, en un vaso con hielo no hay money no hablamos Contamos contamos, de una vez te frenamos bien feo asustamos Los empatillamos, enroló pila de yerba nunca nos cansamos Guerra pa' to' el mundo yo y Anuel, con to' nos quedamos El toto de tu jeva abusamos, y en la cara se la echamos We got it sin bulto we, ahora si que avanzamos Ya nos involucramos si hay que hacer un building, de una vez planeamos  Pilas de mami en alta, nosotros no forzamos 'Tamo activos y los Zeta nos quieren, sin pensarlo quemamos  Yo soy intocable como to's los domi en Santurce y New York Hablaron de guerra y compramos los peines de 100 pa' los R sport Le dimos un palo a la coni y guerreamos hasta que nos maten a to's 5000 en mi cuello no estamos envueltos cabrón Rafaello & Co. Yo soy un demonio el quería matarme pero se murió El otro que dijo que iba a matarme el AN lo crucificó Lloré con cojones cuando me dijeron que ella se cayó Y compramos más R y compramos más balas y compramos más glocks Exploté 7000 en la disco ayer después que coroné Yo sigo en Torres con Nelly y con Guelo leal yo nunca traicioné Yo me clavé a tu puta y pasamos el rifle en el bulto del DEA El draco fulete cromeao' lo acabé de comprar en 26  
