Artista,Cancion,Lyrics,Etiqueta,Expresion
juangabriel,La Princesa Y La Reina,"

A las diez de la mañana
Recibí una gran sorpresa
Ha llegado desde España
La guapísima princesa

Procedente de Madrid
La que canta y baila y reza
Y me viene a ver a mi
Y me dijo la guapeza

Ya fuera de protocolo
Se lleno de sencillez
Y me dijo, tienes arte
De la cabeza a los pies
Ay chiquillo como escribes!
Que bien bailas cuando cantas
Y como yo soy la infanta
De eso se bastante bien

Quise darle un dulce beso
En sus lindos labios rojos
Y en eso me desperté

A sido un sueño oh, oh!

Solamente ha sido un sueño
Yo jamás seré su dueño
Ella a mi ni me conoce
Solamente fue un saludo

Al cuarto para las doce
En el premiere de: yo soy esa
De mi comadre Isabel
Que Isabel pues la pantoja
Cual otra mas iba a ser
La mujer que mas se antoja
De besarle hasta los pies
Ella si que tiene arte

Si la viera Fred Astaire
Le dijera baile usted
Mientras yo la veo y la aplaudo
Porque lo hace usted muy bien

Ay, Isabel!, ay, Isabel!, ay, Isabel!
Tu nombre me sabe a canto
Tu baile como a clavel

Esto si que no es un sueño
Adiós princesa de España
Adiós mi reina Isabel

Ojala que seas dichosa
Ojala te vuelva a ver
Aquí en México te admiran
Y eso que no te han mirado
Todo el arte que tu tienes
Pues nos tienes olvidados
Porque diantres nunca vienes
A mis treinta y dos estados
Mientras vienes dale un beso
A tu madre doña Ana
Dos abrazos a bernardo
Y tres a tu hermano juan
Pero cuatro a mi compadre
Agustín, el buen galán
Cinco al guapo de francisco
Que ya un hombre debe ser
Seis besitos a la niña
Esa niña que al nacer
Su papa que esta en la gloria
Le llamo niña Isabel

Isabel, Isabel, Isabel ay, ay!
Tu nombre me sabe a canto
Tu baile como a clavel

Y a través de ella te canta
Y te baila sevillanas
Para que nunca estés sola
Para que nunca estés triste
Para que nunca pienses
Que la eternidad no existe

Eres como el mar de grande
Eres como el pan de buen
Eres como el sol brillante
Igual que la luna llena

Eres un sueño oh, oh!
Eres un sueño
",0,
maluma,Cuatro Babys 4 Babys,"

Ya no sé que hacer
No sé con cual quedarme
Todas saben en la cama maltratarme
Me tienen bien, de sexo me tienen bien

Estoy enamorado de 4 babys, siempre me dan lo que quiero
Chingan cuando yo les digo, ninguna me pone pero
Dos son casadas, hay una soltera
La otra medio psycho y si no la llamo se desespera

La primera se desespera
Se encojona si se lo hecho afuera
La segunda tiene la funda
Y me paga pa' que se lo hunda
La tercera me quita el estrés
Polvo corridos siempre echamos tres
A la cuenta de una le bajo la luna
Pero ella quiere con Maluma y conmigo a la vez
Estoy enamorado de las cuatro
Siempre las busco después de las cuatro
A las cuatro les encanta en cuatro
Y yo nunca fallo como el 24
De los Lakers siempre es la gorra
De chingar ninguna se enzorra
Estoy metio' en un lío, y hasta confundio'
Porque ninguna de mi mente se borra

Me pongo las gafas Cartier, saliendo del aeropuerto
Vestio' de Osiris, zapatos en piel
Tú tienes todas mis cuentas de banco y el numero de la MasterCard
Tú eres mi mujer oficial,me tiene enamorado ese culote con ese pelo rubio
Pero tengo otra pelinegra que siempre quiere chichar
A veces hasta le llega al estudio
La pelirroja chichando es la más que se moja
La encojona que me llame y no lo coja
Peleamos y me bota la ropa y tengo que llamar a cotorra pa' que la recoja
Tengo una chiquitita nalgona con el pelo corto
Me dice papi vente adentro si me preña
Bryant Myers!

Y estoy metio en un lio
A todas yo quiero darle
Me tienen bien confundio'
Ya no sé ni con cual quedarme
Y es que todas maman bien
Todas me los hacen bien
Todas quieren chingarme encima de billetes de cien
Me tienen en un patín
Comprando en San Valentin
Ya me salieron más caras que un reloj de Ulysse Nardin
Es que la babys están dura y ninguna de la' cuatro se ha hecho completas
Dos tienen maridos y ninguna de las dos al marido respetan

Cuatro chimbitas
Cuatro personalidades
Dos me hablan bonito
Dos dicen maldades
Diferentes nacionalidades
Pero cuando chingan gritan todas por iguales
Quiere que la lleve pa' Medallo
Quiere que la monte en carro del año
Que a una la coja, a la otra la apriete
Y a las otras dos les de juntas en el baño
Digan que más quieren hacer
El Dirty las va a entretener
En la casa gigante hay un party en el yate que él quiere tener
No sé si me entiendes bebé
",1,"Estoy enamorado de 4 babys, siempre me dan lo que quiero
Chingan cuando yo les digo, ninguna me pone pero
Dos son casadas, hay una soltera
La otra medio psycho y si no la llamo se desespera
Estoy enamorado de 4 babys, siempre me dan lo que quiero
Chingan cuando yo les digo, ninguna me pone pero
Dos son casadas, hay una soltera
La otra medio psycho y si no la llamo se desespera
"
anuelaa,McGregor,"

Hermano, mándame un saludo, cabrón, que tú eres el titán
¡Tú eres el ídolo, cabrón!
¡Maldito ídolo, genio!
¡Mundial, ídolo supremo!
¡Maldito genio!, marico, eres el monstruo, bro
¡Eres la maquina!, marico, diablo', weon, ¡no puede ser!
¡La leyenda!
Dicen que el dinero no es todo pero
Tus hijo' no van a comer de un legado o de una trayectoria
Por eso yo lo hago por el dinero
¡Brr!, ¿ah?

Ey, yo soy el más odia'o (El más odia'o)
McGregor en el octágono
Gane o pierda, yo soy el más paga'o (McGregor)
Un millón por un show
Sin soltar una canción en cinco mese', en verda' que dije wow (Un millón)
Ya ni me quieren en los premio' porque la realida' e' que to' el mundo sabe que yo siempre estoy arma'o (Brr)
Y yo soy tan hijo de puta que ya yo ni estoy con Karol y el tatuaje nunca me lo he borra'o (¡Jaja!)
Tengo un diablo en el hombro hablándome y un ángel en el Rolls Royce (Endemonia'o), ey (Ey)
Lo logramo', to' el mundo me está comparando con Yankee y con Don (¡Jaja!), ey
Tengo un AK pistol en el carro, cabrón, soy Ben Wallace en Detroit, ey (Brr)
Le doy de'o al gatillo y toda' las balas te entran sin condón (Brr)

Dinero está entrando (Uah)
Federale' 'vestigando (Uah)
Má' rifle' 'toy comprando (Brr)
Mi' diablo' cazando

¿Quién carajo eres tú? (¿Quién carajo eres tú?)
¿Quién carajo eres tú? (¿Quién carajo eres tú?)
Bendicione' pa' to' mis hermano', dinero y salu' (Dinero y salu')
¿Quién carajo eres tú? (Ey)
¿Quién carajo eres tú? (¿Quién carajo eres tú?)
El respeto se gana, aquí tú traiciona' y vas pa'l ataú' (Vas pa'l ataú'), brr (Yeah)

Cabrón, yo tengo hermano', no tengo amigo' (Amigo')
Son hijaeputa', to's asesino' (Asesino')
Le dimo' dedo al 47 y se vino (Brr)
Y ahora hay uno tira'o al frente 'el casino (Brr)
Ángele' y demonio' en la cabina
La corta debajo 'e la jersey de Yadier Molina, ya to' esto rutina
Los de cien son azule' como el pelo de Carolina (¿Ah?)
Yo llego pa' los GRAMMYs, dejo el palo en el carro con tres peine' de banano', brr (Ey)
Ando con par de cubano, pero aquí se fuma pasto, aquí no se fuma habano' (Ey)
Los ojo' rojo' como el diablo y sienten la vibra de un demonio cuando yo camino (¿Ah? Endemonia'o)
¿Qué tú quiere'? ¿Que te secuestremo' y que te matemo' torura'o o que te matemo' a tiro'?
Te voy a meter Biri Bam Bam porque a la .40 le puse Selena
Que Dios me perdone, pero aquí matamo' a Juda' en la última cena (Amén)
Me encantan las blanquita', pero estoy enamora'o de la .30 que es morena (¡Jaja!)
Yo estoy bien millonario y el cabrón que me arrestó está esperando la quincena (¿Ah?), brr

Yo soy Tyson en el '96 ('96)
Y Kobe postea'o tirando el fade away (Fade away)
Cabrón, yo le dije a mi armero (Brr)
Que el AK pistol los parte como la pierna de McGregor (Jaja)
Te metemo' treintaiocho en la carota como Jordan en el Flu Game (Brr)
En el Lambo Bruce Wayne
Tú no fueras Drake si yo no fuera Litle Wayne (¿Ah?), ¡brr!
Millonario sin un GRAMMY (Sin un GRAMMY)
Sin un GRAMMY le compré una casa 'e dos millone' a mami (Amén)
Cinta amarilla y tiza (Brr)
El que quiera pauta se la damo' con un RIP en las camisa' (¡Jaja!)
Mere cabrón, ¿te vas a hacer?
En el género nadie va a hacer lo que yo pude hacer (¿Ah?)
Vete preso a hacer tiempo
Y que el juez te de tre' año y pega toa' las cancione' que pegué
Y saca un álbum el día de release (Tú sabe')
Y ponlo número uno cómo yo cuando salí
Nadie creía en mí
Y en el comercial de las Nike con las Jordan, ahí si que me fui (Los intocables, los Illuminati')
Y gracias Dios mío por contestarle a mami toda' sus oracione' (Amén)
Acabé de cerrar la gira del 2022 en ciento y pico 'e millone' (¡Jaja!)
¡Brr!
",0,
cafetacuba,Puntos Cardinales,"

Amor y dulzura, fuerza y coraje
Cuatro puntos cardinales, con los que navega
Por calles y ciudades, sin saber de nombres,
Nunca está perdido, siempre está ubicado,
Y donde está se encuentra,

Amor y dulzura, fuerza y coraje
Cuatro puntos cardinales, con los que navega
Y cuando se pierde, porque siente miedo,
Olvida el pasado, no piensa en futuro,
Y eso es suficiente

No envidia a nadie, nunca ambiciona nada,
No debió presenciar ninguno,
No envidia a nadie, nunca ambiciona nada,
No debio presenciar ninguno,

Por calles y ciudades, sin saber de nombres,
Nunca esta perdido, siempre esta ubicado,
donde está se encuetra
",0,
carlosvives,Qudate Aqu,"

Quédate aquí
cerca de mí
voy a intentar
confesar todo mi amor. 

Hoy tu sabrás
lo que siento yo
Por tí.

Quédate aquí,
no pienses más
voy a tratar
de ganar tu corazón,
tal vez, quizás,
te enamores como yo.

Quédate aquí
escuchando lo que digo.
Si al final no lo consigo
por lo menos quedemos como amigos.

Quédate aquí
comparando mis palabras
y si no te dicen nada
ten cuidado porque en ella va mi alma.

Quédate aquí
cerca de mí
sólos tu y yo
conociéndonos mejor
tal vez, quizás,
te conmuevas con mi amor.

Quédate aquí
cerca de mí
quédate aquí

",0,
juangabriel,Todo,"

Me vengo a entregarte
Totalmente y por amor
Quiero ver tus lindos ojos
Quiero ver tu labios rojo
Quiero velos pero frente a mi

Me vengo a entregarte
A nada dire que no
Todo lo que tu me pidas
Todo lo que tu me digas
Yo lo voy hacer mi amor

Todo te voy a entregar
Lo que yo tengo dentro y fuera de mi
Todo, todo, todo, todo, todo

Todo te voy a entregar
Asi lo siento detro y fuera de mi
Que no senti jamas por nadie
Porque nadie, nadie nadie

Me quiso tanto como tu mi amor
Y ahora te voy entregar
Lo que he guadado dentro y fuera de mi
Que no le quise dar a nadie
Por  que nadie nadie nadie
Me quiere tanto como tu mi amor

Pero te voy a dar tanto amor
El que he guadado dentro y fuera de mi
Que no le quise dar a nadie
Por  que nadie nadie nadie

Me quizo tanto como tu mi amor
Nadie me quiere como tu mi amor
Ni me querran como tu mi amor
Todo
",0,
alejandrosanz,La Margarita Dijo No,"

Bajo la lluvia y bajo el Sol,
la margarita dijo no.

Bajo la lluvia y bajo el Sol,
bellos e inmóviles los dos
se prometieron no crecer.
No sé por qué, me convenció.
Hace tanto de aquello.

Bajó la Luna y le habló
para volver, la condición
es que hay que transformarse en ola
y no dejar tu orilla sola,
ni siquiera un momento.

Pero les pudo la ambición
él quiso acariciar la Luna,
ella, ser rosa y amapola.
Y esperando visita,
deshojó margaritas.

Pasaron los años y ella se marchitó
deshojando fantasías
El niño se hizo mayor.
No han vuelto a verse en la vida
La margarita dijo no.
La margarita dijo no.

Si bajas, Luna, escúchame y escucha tú esta vez:
Para volver, la condición
es que aprendamos a crecer,
sin que caduque la pasión,
aunque no me arrepiento.

Sin que nos gane la ambición.
Yo quise acariciar la Luna
y ella ser rosa y amapola.
Y, esperando visita, otra vez,
Deshoje margaritas.

Qué extraño es esto del amor,
¿por qué preguntan a una flor?
",0,
antonioaguilar,Cuando Ya No Me Quieras,"

Cuando ya no me quieras
No me finjas cariño
No me tengas piedad
Ni atencion ni temor...

Si me diste tu olvido
No te culpo ni riño
Ni te doy el disgusto
De mirar mi dolor...

Partire canturreando
Mi poema mas triste
Le dire a todo el mundo
Lo que tu me quisiste

Y cuando nadie escuche
Mis canciones ya viejas ayy
Detendre mi camino
En un pueblo lejano y ahi morire...

Se que ya no me quieres
Me lo han dicho tus ojos
Seguire por la ruta
Que no tiene final...

Seguire siempre siempre
Partire sin enojos
Y mis labios sin penas
Cantar un madrigal...

",0,
anuelaa,Los Hombres No Lloran,"

Prefiero culpar al destino de dividir lo' camino' y de no volver a verte (Verte, oh-oh)
Me levantan y no tenerte (No tenerte, oh-oh)
La culpa está en mi mala suerte (Suerte)
Siempre puse de mí parte (Parte)
Pero prefiero engañarme (Me)
No todo es color de rosa y ahora culpo otra' cosa' porque nunca quiero odiarte (Odiarte)

Ya tú sabe' que (Que)
Lo más probable e' que no me vuelvas a ver (Oah)
Y ahora sé que tú sabes que (Uah)
El dolor que yo siento lo sientes también
Baby, ahora que, ya tú sabe' que (Que)
Lo más probable e' que no me vuelvas a ver (Eh)
Y ahora sé que tú sabes que (Uah)
El dolor que yo siento lo sientes también

¿Quién fue que dijo que lo' hombres nunca pueden llorar?
Y como los celos y mi miedo es verte marchar (Marchar)
'Toy buscando un culpable y el tiempo se me va (Va)
Lo que algún día fue ya más nunca lo será (Oah)

Por fin tenemos algo en común y e' que ya tú no me quieres y yo no te quiero tampoco (-Poco)
Este mundo es como de locos (Loco)
En vez de amor prefiero el corazón roto (Uah)
Y mi madre dijo que yo no he perdío' a nadie que tú fuiste la que a mí me perdiste
El amor es como un chiste (Como un chiste)
Ganaste un Oscar por ese papel que hiciste (Uah)

Y la vida te da sorpresa (Uah)
Eres un tumor adentro e' mi cabeza (Uah)
Reconstruirme ya no me intresa'
Porque faltan piezas (Baby) del rompecabeza'

No sé a qué la tenga má' miedo si volverte a ver
O no volverte a ver má' nunca
Uah (Uah)
Real Hasta la Muerte, Bebecita
",0,
ozuna,Besos Mojados,"

Anda, ve corriendo a donde ese infeliz para luego volver a mí
Para que consuele tu llanto
No es la primera vez que lo haces, decídete
Si te quedas con él, a mí no me mires más (baby)
Si quieres otra vez, entonces ve donde él está

Besos mojados, labios invisibles
Gemidos inaudibles, que te atormentan sin voluntad
Besos mojados, labios invisibles
Gemidos inaudibles, que me atormentan sin voluntad

Ella no se decide, pero como me jode y me exige
A veces me llama por Facebook pa' que yo la cobije
Ella es bipo-lar, parece que siempre dice
Que no quiere nada serio, pero se contradice
Y me busca, sólo para sexo me usa
Tenemos una relación bastante confusa
Qué cosa, si la diabla me engatusa
Si le hablo de amores siempre me pone mil excusas

Y aún sigo esperando, el tiempo pasando
Yo sé que con él tus noches son fría'
Por eso vuelves a mí to' los día'

Gemidos que me gustan tanto
Que yo deseo que to' el día pase
Que toquemo' base
Sé que tú desea
Ponte pa' mí pa' que vea'
Lo que hace un hombre cuando a una mujer desea
Besos mojado', eso me pasa sólo a tu lado
Si tú te me va', ¿cómo le hago?
Que tú ere' mía, yo lo sé
Y si alguna vez tú lo duda'

Entrégame tu desnudez pa' que tú sienta'
Como tu cuerpo mojado hace lo que mi mente desea
Me siento bien a tu lado
Ven, pégate para que veas
Como tu cuerpo mojado hace lo que mi mente desea
Tú me desea' (uoh-oh, oh-oh)

(Besos mojados)
RKM y Ken-Y
(Labios invisibles, gemidos inaudibles)
Pina Records
Mikey Tone
(Que me atormentan sin voluntad)
Wallie (Wallie, Wallie, Wallie, Wallie)
",1,"Que no quiere nada serio, pero se contradice
Y me busca, sólo para sexo me usa

Que tú ere' mía, yo lo sé
Y si alguna vez tú lo duda'"
